#OTUID	CANON_B10_22_X	CANON_B13_22_X	CANON_B17_22_X	CANON_B1_22_X	CANON_CBI1_22_X	CANON_CBI4_22_X	CANON_CBI5_22_X	CANON_CBI8_22_X
ASV_8405	0	19	0	2	0	73	80	0
ASV_8407	0	0	7	4	0	0	0	12
ASV_8408	0	0	1263	0	0	0	0	0
ASV_8410	0	0	0	12	0	0	0	0
ASV_8412	8	0	0	0	0	2	0	0
ASV_8422	0	25	0	0	0	0	0	0
ASV_8424	0	42	215	162	0	2	1	169
ASV_8426	1	1	344	0	0	4	1	0
ASV_8428	1743	330	0	0	0	144	81	0
ASV_8429	0	0	0	1	0	0	0	0
ASV_8430	0	0	0	0	0	59	0	0
ASV_8433	0	14	8	0	0	0	12	0
ASV_8434	8	309	80	152	0	134	211	11
ASV_8437	0	266	0	76	0	232	1	1
ASV_8439	1	0	0	0	3	0	0	0
ASV_8440	0	0	43	22	0	1	0	7
ASV_8442	0	0	0	0	0	0	0	0
ASV_8444	149	167	0	0	0	46	118	0
ASV_8455	0	0	0	0	0	0	0	0
ASV_8461	48	15	6	15	10	11	44	27
ASV_8465	0	7	45	25	0	0	7	26
ASV_8466	0	0	0	0	0	0	24	0
ASV_8467	92	372	165	72	19	134	275	148
ASV_8471	324	85	332	68	0	22	38	16
ASV_8480	0	13	356	222	6	3	12	112
ASV_8481	0	23	0	38	0	14	9	5
ASV_8482	0	5	0	0	0	0	0	0
ASV_8483	0	155	0	0	0	40	45	0
ASV_8484	0	0	52	11	0	1	1	37
ASV_8485	0	1	0	0	0	1	9	0
ASV_8490	0	0	41	12	0	0	1	0
ASV_8493	0	0	17	6	155	6	2	25
ASV_8494	1	21	147	144	311	0	6	39
ASV_8497	0	0	29	0	0	0	0	5
ASV_8499	0	0	0	0	0	0	3	13
ASV_8502	62	73	295	335	9	18	36	207
ASV_8513	0	39	0	0	0	3	19	0
ASV_8516	871	0	10	0	0	0	0	176
ASV_8518	0	0	0	82	0	0	0	0
ASV_8520	0	0	0	0	0	0	3	0
ASV_8521	0	8	6	16	0	0	0	5
ASV_8523	0	0	12	7	0	0	0	4
ASV_8525	1	4	14	5	0	0	0	0
ASV_8527	96	50	20	0	0	5	19	5
ASV_8528	1	14	9	9	0	4	7	21
ASV_8532	0	0	0	0	0	0	1	0
ASV_8533	0	42	0	0	0	26	35	0
ASV_8538	0	0	0	0	0	0	0	1
ASV_8541	0	212	297	30	0	33	50	276
ASV_8545	0	76	0	0	0	0	22	0
ASV_8548	0	2	164	44	0	0	16	8
ASV_8551	209	23	10	15	0	6	8	0
ASV_8553	0	5	0	0	0	0	0	0
ASV_8559	0	0	38	0	0	0	1	8
ASV_8562	0	31	0	0	0	0	1	0
ASV_8564	16	76	0	0	0	12	74	0
ASV_8566	0	0	0	0	0	0	0	0
ASV_8569	0	0	1	0	0	0	0	0
ASV_8570	0	0	1	0	1	0	3	0
ASV_8571	0	5	6	16	0	0	1	18
ASV_8574	0	3	0	5	0	0	8	3
ASV_8575	47	72	89	30	0	31	52	78
ASV_8576	168	2489	1285	149	455	3924	1813	1624
ASV_8581	7	66	44	29	0	34	24	55
ASV_8583	34	1	25	24	0	2	0	17
ASV_8584	19	17	8	22	0	26	3	5
ASV_8585	0	0	0	0	0	0	0	0
ASV_8587	0	22	86	7	0	31	13	20
ASV_8591	0	0	0	0	0	0	0	0
ASV_8599	0	0	1	0	0	0	0	0
ASV_8600	0	38	0	0	0	0	0	0
ASV_8611	4	16	99	103	56	3	5	43
ASV_8612	0	51	0	78	0	11	0	0
ASV_8615	0	0	0	0	0	0	0	0
ASV_8616	0	0	0	0	0	4	0	0
ASV_8617	0	0	0	34	0	0	3	19
ASV_8623	101	58	72	33	2	1	8	20
ASV_8624	1588	951	0	69	0	475	236	0
ASV_8628	1	0	3	15	0	2	0	128
ASV_8629	2	14	2	36	0	2	3	2
ASV_8631	36	54	47	21	0	22	68	33
ASV_8634	0	0	7	4	0	0	0	0
ASV_8635	0	86	0	0	0	2	4	0
ASV_8639	5	94	4	2	0	25	38	2
ASV_8647	0	26	25	37	0	2	13	20
ASV_8648	0	0	0	0	0	0	0	0
ASV_8649	0	0	28	0	0	0	2	115
ASV_8652	18	16	14	0	0	10	1	1
ASV_8654	1	0	0	0	0	0	0	0
ASV_8657	34	173	53	50	1	60	50	0
ASV_8664	0	4	4	3	0	0	2	5
ASV_8666	0	2	0	2	0	0	1	0
ASV_8670	73	10	0	21	242	4	22	0
ASV_8672	0	1	0	0	0	0	0	0
ASV_8673	0	19	0	3	0	0	2	3
ASV_8679	0	0	0	0	0	0	5	0
ASV_8684	0	0	0	0	0	0	0	0
ASV_8688	0	0	0	0	0	0	1	0
ASV_8691	8	141	78	19	46	84	70	41
ASV_8692	4	0	0	11	0	0	0	2
ASV_8693	0	0	0	20	0	0	0	1
ASV_8694	0	0	1	0	0	0	0	15
ASV_8695	1	148	10	10	0	80	11	40
ASV_8696	17	604	4	9	0	177	545	8
ASV_8701	0	3	5	10	0	10	10	3
ASV_8702	4	25	0	0	0	8	2	0
ASV_8703	0	1	15	18	0	0	3	0
ASV_8705	0	0	0	7	0	0	0	0
ASV_8708	10	43	200	70	135	3	10	52
ASV_8709	0	0	31	0	0	2	0	29
ASV_8710	0	0	0	17	0	0	0	0
ASV_8712	0	0	47	16	0	0	0	184
ASV_8715	6	27	14	16	1	0	8	1
ASV_8716	0	0	0	1	0	0	0	0
ASV_8719	104	74	65	82	0	43	95	2
ASV_8722	0	0	0	5	0	0	1	0
ASV_8723	0	0	0	7	0	0	0	0
ASV_8728	0	0	0	0	0	0	6	10
ASV_8736	0	0	0	0	0	7	0	0
ASV_8741	57	26	14	33	4	6	15	1
ASV_8742	0	143	2	48	1	5	14	0
ASV_8745	46	72	149	157	235	22	41	184
ASV_8748	0	0	0	0	0	0	0	0
ASV_8755	1	8	28	16	0	0	0	12
ASV_8757	0	0	2	0	0	0	0	0
ASV_8759	0	0	22	31	0	0	0	0
ASV_8763	0	1	0	34	0	1	0	0
ASV_8764	2	4	12	1	2	0	0	4
ASV_8769	0	0	0	0	0	0	1	3969
ASV_8770	5	1	8	5	0	0	4	0
ASV_8772	194	245	14	11	0	16	104	103
ASV_8773	0	0	2	18	0	0	0	3
ASV_8777	121	56	0	0	0	0	0	0
ASV_8781	6	1	0	0	0	0	0	0
ASV_8783	1	34	1117	302	408	11	26	1764
ASV_8784	0	0	0	0	0	0	0	0
ASV_8785	0	0	5	0	1	0	0	2
ASV_8787	0	1	7	1	0	3	2	0
ASV_8788	0	0	1	1	0	0	0	2
ASV_8793	0	1	12	1	0	0	7	10
ASV_8795	0	0	0	19	0	0	0	0
ASV_8796	0	0	0	9	0	0	0	0
ASV_8798	0	1	8	4	0	5	0	1
ASV_8802	0	0	0	4	0	0	1	5
ASV_8803	0	0	16	2	0	0	0	58
ASV_8805	72	23	139	52	0	7	20	171
ASV_8807	0	0	0	0	0	0	0	0
ASV_8811	0	2	38	3	6	0	0	2
ASV_8812	0	0	0	3	0	0	0	0
ASV_8813	3	0	1	0	0	0	0	0
ASV_8815	5	3	0	0	0	5	8	14
ASV_8819	0	49	0	0	0	37	53	0
ASV_8823	19	0	0	0	0	0	6	0
ASV_8825	0	10	0	0	0	0	0	0
ASV_8826	0	1	0	0	0	0	1	0
ASV_8829	175	4	0	24	0	0	4	4
ASV_8831	0	0	0	0	0	3	0	6
ASV_8832	87	318	8	28	741	1373	720	69
ASV_8839	0	3	0	15	0	5	16	0
ASV_8842	0	1	10	1	0	0	0	0
ASV_8843	10	35	71	53	0	2	28	54
ASV_8845	8	2	0	0	0	0	1	0
ASV_8850	9	0	0	0	0	0	5	0
ASV_8852	0	0	0	6	0	0	0	0
ASV_8856	5	15	5	11	0	0	5	9
ASV_8858	0	5	0	0	0	1	0	0
ASV_8861	5	11	60	23	99	0	2	14
ASV_8865	0	0	0	29	0	0	0	0
ASV_8866	0	19	66	7	0	11	0	22
ASV_8867	10	86	40	124	12	8	23	56
ASV_8868	0	0	0	0	0	0	1	0
ASV_8872	0	0	0	0	0	0	4	0
ASV_8873	0	33	17	0	0	8	13	31
ASV_8874	0	0	0	6	0	0	0	0
ASV_8875	1	19	15	48	20	9	4	4
ASV_8878	0	0	1	0	0	0	0	1
ASV_8879	6	10	14	6	0	1	3	1
ASV_8880	0	0	0	2	0	0	0	0
ASV_8881	82	0	0	0	0	13	0	5
ASV_8884	0	0	1	0	0	0	0	0
ASV_8885	3	4	20	16	0	0	4	6
ASV_8890	0	0	1	0	0	0	0	0
ASV_8897	0	4	4	34	0	8	0	6
ASV_8901	1	0	1	3	0	0	0	0
ASV_8903	91	228	19	12	0	9	105	67
ASV_8912	37	20	56	65	92	11	13	283
ASV_8914	0	7	0	0	0	1	2	0
ASV_8922	0	0	8	0	0	0	0	4
ASV_8925	0	0	0	0	0	0	0	208
ASV_8935	0	1	7	2	0	0	0	0
ASV_8936	0	0	0	0	0	0	0	0
ASV_8937	15	303	0	6	0	196	274	0
ASV_8940	1	15	3	0	0	0	0	2
ASV_8944	6	22	3	26	0	0	19	11
ASV_8948	0	1	1	3	0	0	0	3
ASV_8950	0	0	8	3	0	0	0	0
ASV_8955	0	72	0	0	0	0	0	0
ASV_8961	0	1	11	3	41	1	2	11
ASV_8962	0	1	0	0	0	0	0	0
ASV_8965	0	0	0	0	0	0	0	0
ASV_8967	0	0	0	0	0	0	0	2
ASV_8969	1	2	15	1	0	0	1	27
ASV_8974	0	2	0	3	0	0	0	2
ASV_8976	0	0	7	16	0	0	0	24
ASV_8979	0	0	0	0	0	0	0	0
ASV_8980	1	14	0	2	0	6	3	0
ASV_8985	0	11	1	3	1	2	1	0
ASV_8986	0	4	18	1	2	0	7	11
ASV_8988	10	20	5	7	0	5	5	5
ASV_8991	0	0	0	35	0	0	0	58
ASV_8998	0	0	0	0	0	0	0	0
ASV_9001	22	70	34	38	0	18	38	38
ASV_9002	0	0	6	1	0	0	0	3
ASV_9011	0	0	7	2	0	0	0	0
ASV_9015	0	0	0	13	0	0	0	0
ASV_9016	0	5	0	0	1	0	1	0
ASV_9017	6	9	58	36	4	0	5	18
ASV_9020	0	0	3	0	0	0	0	0
ASV_9022	0	0	0	0	0	0	0	13
ASV_9023	1	6	0	0	0	5	3	0
ASV_9026	0	0	17	21	0	1	0	9
ASV_9028	40	0	33	17	126	0	1	3
ASV_9037	0	1	48	2	0	0	5	33
ASV_9039	0	0	0	0	0	0	1	1
ASV_9040	0	1	0	2	0	0	2	0
ASV_9041	6	24	228	143	10	11	17	118
ASV_9043	0	0	0	3	0	0	0	0
ASV_9045	0	3	0	0	0	6	3	0
ASV_9050	2	0	7	6	0	0	0	3
ASV_9054	0	2	3	0	0	0	0	0
ASV_9055	2	3	20	6	0	0	1	2
ASV_9056	0	0	0	0	0	1	2	0
ASV_9060	1	15	32	35	0	8	13	13
ASV_9064	0	2	0	0	0	0	0	0
ASV_9077	0	0	5	0	0	0	0	0
ASV_9084	0	6	17	25	253	1	3	0
ASV_9088	0	0	0	0	0	0	0	0
ASV_9097	0	0	3	3	0	0	0	0
ASV_9099	0	11	0	1	0	0	2	0
ASV_9100	0	0	0	0	0	0	0	7
ASV_9101	0	0	7	1	0	0	0	0
ASV_9103	0	0	32	3	0	0	4	6
ASV_9105	0	0	3	11	7	0	0	4
ASV_9107	7	1	2	3	0	0	0	2
ASV_9108	0	0	0	0	0	0	7	0
ASV_9113	0	9	0	1	0	5	12	0
ASV_9114	0	0	11	0	0	0	0	0
ASV_9118	4	2	0	1	0	0	0	4
ASV_9120	0	0	0	15	0	0	0	0
ASV_9121	0	0	0	0	0	0	0	0
ASV_9123	0	0	0	0	0	0	2	0
ASV_9124	0	0	0	17	0	0	0	0
ASV_9127	0	0	0	0	0	4	0	0
ASV_9131	0	0	0	0	0	0	0	0
ASV_9134	4	7	1	3	0	4	10	5
ASV_9137	77	51	39	0	0	6	8	0
ASV_9138	0	12	43	77	19	0	5	43
ASV_9140	221	48	73	58	0	3	3	30
ASV_9142	453	1196	109	38	0	236	815	59
ASV_9144	436	341	43	1	0	62	88	42
ASV_9145	2	3	0	0	0	0	2	0
ASV_9146	0	0	9	7	0	0	0	3
ASV_9148	0	0	0	0	1	0	0	0
ASV_9149	0	3	0	0	0	0	0	0
ASV_9151	0	0	1	0	0	0	0	0
ASV_9156	0	0	6	0	0	0	0	0
ASV_9157	0	0	0	0	0	3	2	0
ASV_9158	0	2	1	0	0	1	0	9
ASV_9160	0	0	10	9	3	0	0	7
ASV_9162	0	89	0	0	0	0	1	0
ASV_9163	0	0	0	1	0	0	0	0
ASV_9178	0	1	4	6	0	0	0	0
ASV_9179	0	0	0	0	0	0	0	0
ASV_9182	0	0	1	1	0	0	0	0
ASV_9186	0	7	0	1	0	1	9	0
ASV_9188	0	0	0	0	0	0	0	0
ASV_9191	0	9	0	3	0	0	4	0
ASV_9196	0	0	17	0	0	0	0	0
ASV_9197	0	0	1	1	0	0	0	1
ASV_9198	0	0	13	15	0	0	1	126
ASV_9200	0	0	0	0	0	0	1	0
ASV_9202	1	3	3	8	0	0	0	6
ASV_9208	651	0	0	0	0	30	0	0
ASV_9209	0	0	27	3	0	0	0	16
ASV_9218	6	6	6	8	0	0	3	4
ASV_9221	0	1	0	0	0	0	1	0
ASV_9223	0	0	29	6	0	0	0	34
ASV_9224	1	56	9	1	0	126	83	24
ASV_9227	0	0	11	7	0	0	1	8
ASV_9228	0	3	0	1	0	6	7	0
ASV_9230	0	3	0	0	0	0	2	0
ASV_9238	0	0	0	1	0	0	6	0
ASV_9245	0	1	15	0	0	0	5	0
ASV_9248	0	0	4	1	0	0	0	0
ASV_9251	0	0	3	0	0	0	1	0
ASV_9258	0	0	5	0	0	0	0	0
ASV_9259	0	0	0	0	0	0	0	0
ASV_9260	0	0	2	2	0	0	0	0
ASV_9261	0	1	2	1	0	0	0	0
ASV_9264	4	2	45	14	0	1	10	18
ASV_9265	0	1	0	1	0	0	0	0
ASV_9268	0	0	0	0	0	0	0	0
ASV_9274	0	0	0	0	0	0	0	0
ASV_9276	0	2	18	3	0	0	5	0
ASV_9279	0	1	0	0	0	0	2	0
ASV_9280	14	0	0	67	0	0	8	7
ASV_9281	2	0	2	1	0	0	2	0
ASV_9283	0	0	0	0	0	0	0	0
ASV_9284	0	0	0	0	0	0	4	0
ASV_9287	0	1	3	5	0	0	0	0
ASV_9292	0	3	0	0	0	1	1	0
ASV_9294	0	3	4	5	171	0	2	5
ASV_9298	69	0	0	0	0	0	0	0
ASV_9302	0	0	11	1	0	0	0	2
ASV_9304	0	8	17	0	0	0	0	4
ASV_9308	0	5	0	0	0	0	0	0
ASV_9311	0	0	0	0	0	0	0	0
ASV_9312	0	9	0	0	0	0	0	0
ASV_9313	1	0	0	0	0	0	0	0
ASV_9314	0	3	0	0	0	0	31	0
ASV_9317	2	1	10	1	0	0	0	4
ASV_9318	0	5	145	93	79	0	4	70
ASV_9319	0	1	2	0	0	0	1	3
ASV_9325	0	0	0	0	0	0	0	0
ASV_9326	0	0	2	1	0	0	0	0
ASV_9328	0	0	12	0	0	5	0	0
ASV_9329	0	13	0	0	0	0	0	0
ASV_9330	0	0	2	0	0	0	0	0
ASV_9333	2	10	7	9	0	11	34	15
ASV_9334	0	0	2	2	0	0	0	22
ASV_9341	76	17	0	3	0	14	15	3
ASV_9344	0	1	18	13	0	0	0	18
ASV_9345	0	0	5	0	0	0	0	0
ASV_9348	0	0	1	2	34	21	8	19
ASV_9350	31	76	0	1	0	20	30	0
ASV_9353	0	0	4	0	0	0	0	0
ASV_9355	0	0	6	0	0	0	0	0
ASV_9357	0	0	0	0	0	0	1	0
ASV_9361	0	0	0	0	0	0	0	0
ASV_9362	10	44	80	25	24	8	62	107
ASV_9371	10	44	94	99	117	8	23	51
ASV_9374	0	0	0	1	0	0	0	0
ASV_9376	1	0	0	0	0	1	0	0
ASV_9388	1	3	4	1	0	0	0	2
ASV_9390	0	21	0	0	0	0	0	0
ASV_9399	2	0	6	6	0	0	1	0
ASV_9401	7	0	34	20	0	4	1	18
ASV_9402	0	0	1	1	0	0	0	3
ASV_9407	0	0	0	0	0	0	0	0
ASV_9409	0	0	57	0	0	0	0	0
ASV_9411	0	0	16	11	0	0	0	6
ASV_9412	0	2	15	52	62	1	11	18
ASV_9413	0	0	0	1	0	0	0	0
ASV_9417	0	0	0	2	0	0	0	0
ASV_9418	0	0	0	0	0	0	0	0
ASV_9422	0	1	7	1	0	0	0	4
ASV_9423	36	5	9	0	0	1	1	0
ASV_9424	0	0	16	0	0	0	0	44
ASV_9429	104	204	223	17	6	23	36	73
ASV_9434	0	0	3	3	0	1	0	2
ASV_9435	0	0	2	6	0	0	0	0
ASV_9436	0	0	0	0	0	0	2	0
ASV_9437	1	0	1	2	0	0	0	0
ASV_9441	0	0	0	2	0	0	0	2
ASV_9455	62	800	1654	631	1766	866	791	2326
ASV_9458	0	1	13	4	0	0	0	1
ASV_9479	0	0	0	0	0	4	0	0
ASV_9482	14	5	5	6	1	0	1	3
ASV_9483	32	21	0	0	0	10	27	3
ASV_9485	0	3	0	2	0	2	8	0
ASV_9490	0	4	3	0	0	0	0	0
ASV_9491	0	5	0	1	37	0	0	13
ASV_9493	0	11	0	30	0	5	4	3
ASV_9501	15	30	0	0	0	12	17	0
ASV_9505	0	0	3	2	0	0	0	0
ASV_9506	0	0	0	0	0	0	0	2
ASV_9514	0	0	0	1	0	0	2	0
ASV_9519	0	0	0	0	0	2	1	0
ASV_9520	0	16	24	9	0	1	1	13
ASV_9524	0	0	0	0	0	0	0	0
ASV_9529	0	0	0	4	0	0	0	0
ASV_9532	0	1	0	0	0	2	6	0
ASV_9535	0	0	10	1	27	0	0	1
ASV_9536	0	0	8	3	0	0	0	0
ASV_9542	0	1	12	3	0	1	1	3
ASV_9546	0	0	0	1	0	0	0	0
ASV_9557	0	0	0	0	0	0	3	0
ASV_9558	3	14	126	80	252	0	2	64
ASV_9559	1470	951	54	51	0	218	283	58
ASV_9562	0	1	2	4	0	0	0	0
ASV_9564	0	0	0	1	0	0	2	0
ASV_9568	0	0	0	13	0	0	0	0
ASV_9571	0	18	136	24	103	55	61	339
ASV_9572	0	2	0	0	0	0	0	0
ASV_9576	0	7	0	0	0	0	3	0
ASV_9580	0	17	0	0	0	0	0	0
ASV_9584	0	0	1	2	0	0	0	2
ASV_9585	0	0	7	2	0	3	0	4
ASV_9590	0	14	134	76	0	3	1	4
ASV_9595	0	0	9	0	0	0	0	0
ASV_9599	0	1	5	1	0	0	6	0
ASV_9608	0	30	13	141	84	0	13	37
ASV_9615	0	0	0	0	0	0	0	0
ASV_9619	0	0	0	0	0	0	0	1
ASV_9621	1	4	0	0	0	0	6	0
ASV_9627	0	10	4	0	0	110	29	10
ASV_9628	0	0	3	1	0	0	0	0
ASV_9629	0	3	4	7	0	0	0	1
ASV_9639	0	0	20	0	0	0	0	0
ASV_9643	4	12	176	47	505	16	8	115
ASV_9644	0	2	12	0	0	0	0	0
ASV_9649	0	1	1	2	0	0	0	0
ASV_9650	0	0	5	0	0	0	0	0
