#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID	BLAST	BLAST_BLAST_DB	BLAST_EVALUE	BLAST_MAXIMUM_MATCHES	BLAST_PERCENT_IDENTITY	BLAST_WORD_SIZE	BLAST_culling_limit	CLUSTER_OTUS	Cartridge_Number	DNA_concentration	ESP_Type	HOMOPOLYMER_MAX	Max_Expected_Errors	Month	PCR_well	PEAR	PEAR_PVALUE	PEAR_Quality_Threshold	PEAR_SCORING	PEAR_TEST	PEAR_UNCALLEDMAX	PEAR_min_seq_length	PRIMER_MISMATCH_PROPORTION	Perform_Expected_Error_Filter	Primer_R	Project	R	R1	R2	REMOVE_HOMOPOLYMERS	SAMPLE_Collection_Device	SAMPLING_Institute	SAMPLING_PI	SAMPLING_bottle	SAMPLING_campaign	SAMPLING_date_time	SAMPLING_dec_lat	SAMPLING_dec_lon	SAMPLING_fluor	SAMPLING_institute	SAMPLING_platform	SAMPLING_platform_type	SAMPLING_project	SAMPLING_real_depth	SAMPLING_sig_t	SAMPLING_station	SAMPLING_station_number	SAMPLING_transmiss_.	Sample_Order	Season	Station	Unnamed..0	adapters	chlorophyll	cluster_method	cluster_radius	collection_date	cutadapt	date_PCR	date_PCR2	date_pcr	day	de_replicate	description	diss_oxygen	env_biome	env_feature	env_material	env_package	extracted	file_R1	file_R2	filter	geo_loc_name	investigation_type	lat_lon	lib_const_meth	library_tag_combo	local_time_end	local_time_start	mid	min_OTU_abun	month	nitrate	nucl_acid_amp	nucl_acid_ext	order	pcr_primers	phinchID	pore_size	pressure_dbar	primer_sequence_F	primer_sequence_R	project_name	python	remove_chimeras	replicate	salinity	samp_extraction	samp_extraction_prep	samp_filter_ext_type	samp_filter_size_ext	samp_store_temp	samp_vol_we_dna_ext	sample_ID	sample_locus	sample_type	seq_facility	seq_meth	seq_notes	seq_type	seqtk	sequencing_facility	station	submitted.to.insdc	submitted_to_insdc	swarm	tag_number	tag_sequence	target_gene	tdepth	temp	type_sample	volume	vsearch	year
CN18FESPkoa_SC32_FF	CN18F	 34.26964	FF29	FF	COI	CN18FESPkoa_SC32	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP6	CN18F6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC34_FF	CN18F	 27.85332	FF27	FF	COI	CN18FESPkoa_SC34	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP7	CN18F7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC35_FF	CN18F	 25.00059	FF26	FF	COI	CN18FESPkoa_SC35	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP8	CN18F8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC37_FF	CN18F	 31.66745	FF24	FF	COI	CN18FESPkoa_SC37	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP9	CN18F9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC40_FF	CN18F	 23.41120	FF21	FF	COI	CN18FESPkoa_SC40	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP10	CN18F10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC41_FF	CN18F	 23.25099	FF20	FF	COI	CN18FESPkoa_SC41	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP11	CN18F11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC43_FF	CN18F	 32.40881	FF18	FF	COI	CN18FESPkoa_SC43	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP12	CN18F12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC44_FF	CN18F	 34.72139	FF17	FF	COI	CN18FESPkoa_SC44	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP13	CN18F13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC46_FF	CN18F	 36.81464	FF15	FF	COI	CN18FESPkoa_SC46	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP14	CN18F14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CN18FESPkoa_SC47_FF	CN18F	 31.69745	FF14	FF	COI	CN18FESPkoa_SC47	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP15	CN18F15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
