#OTUID	CN18SKOA_ESP36_NN	CN18SKOA_ESP39_NN	CN18SKOA_ESP41_NN	CN18SKOA_ESP44_NN	CN18Sc14_8_eDNA_NN	CN18Sc15_8_eDNA_NN	CN18Sc18_8_eDNA_NN	CN18Sc27_8_eDNA_NN
ASV_620	0	0	0	0	0	0	0	0
ASV_658	1	0	1	0	0	0	3	4
ASV_659	6	10	55	62	0	4	17	11
ASV_660	18	5	20	27	3	40	20	15
ASV_662	25	2	9	21	0	39	15	10
ASV_664	14	5	13	3	2	11	7	5
ASV_665	0	0	0	0	7	0	0	0
ASV_667	21	9	19	11	0	17	4	7
ASV_669	3	0	1	0	2	0	0	0
ASV_673	0	0	0	0	10	0	0	0
ASV_674	8	2	11	14	4	12	0	10
ASV_675	0	0	0	0	0	0	0	0
ASV_676	0	2	3	7	0	13	3	7
ASV_678	1	0	0	0	0	0	0	0
ASV_679	0	0	0	0	1	0	1	0
ASV_680	2	0	0	0	1	0	6	0
ASV_681	0	0	0	0	0	0	0	0
ASV_686	0	0	0	0	0	0	1	0
ASV_687	0	0	0	0	0	13	0	4
ASV_688	0	0	0	0	0	0	0	0
ASV_689	0	0	0	0	0	0	0	0
ASV_690	1	0	1	4	0	1	0	4
ASV_692	0	0	0	4	0	4	5	2
ASV_693	0	3	0	0	0	0	0	0
ASV_694	10	5	23	7	1	3	13	2
ASV_697	5	0	0	0	0	0	0	0
ASV_698	0	0	0	0	0	0	2	1
ASV_700	0	0	0	0	0	0	0	0
ASV_701	0	0	0	0	0	0	0	0
ASV_703	2	0	0	2	0	0	1	0
ASV_708	0	0	0	0	0	0	2	0
ASV_709	0	0	0	0	1	0	0	0
ASV_710	0	0	0	0	0	0	0	0
ASV_713	0	0	0	0	0	0	0	0
ASV_718	0	0	0	0	0	0	0	0
ASV_720	0	0	0	0	0	0	0	0
ASV_721	0	0	0	0	0	0	0	0
ASV_722	0	0	0	0	0	0	2	0
ASV_726	0	0	0	0	0	0	0	0
ASV_727	0	0	7	0	0	8	0	0
ASV_732	3	0	5	0	0	0	0	0
ASV_733	0	0	0	0	0	0	0	1
ASV_736	2	0	0	0	0	0	0	0
ASV_737	0	0	0	0	0	0	0	0
ASV_739	0	0	0	0	0	0	0	0
ASV_743	0	0	1	0	0	0	0	0
ASV_754	0	0	0	0	0	0	0	0
ASV_760	0	0	0	0	0	0	0	0
ASV_764	1	0	0	0	1	0	7	0
ASV_765	0	0	0	0	0	0	0	0
ASV_767	0	0	0	0	0	0	0	0
ASV_774	0	0	0	0	0	0	0	0
ASV_776	0	0	1	0	0	2	0	0
ASV_777	0	0	0	0	0	0	3	0
ASV_782	0	0	0	0	1	0	0	0
ASV_784	0	0	0	1	0	0	0	0
ASV_786	0	0	2	1	0	0	0	0
ASV_793	0	0	0	0	0	0	0	0
ASV_795	0	0	0	0	0	0	0	0
ASV_798	0	0	0	0	0	0	0	0
ASV_801	0	0	0	0	0	0	0	0
ASV_814	2	0	0	0	0	0	0	0
ASV_820	3	2	0	0	0	0	0	0
ASV_828	0	0	0	0	0	0	0	0
ASV_832	0	0	0	0	0	0	2	0
ASV_843	0	0	0	0	0	0	0	0
ASV_845	0	0	0	0	0	0	2	0
ASV_850	0	0	0	0	1	0	0	0
ASV_852	1	0	1	1	0	0	4	0
ASV_858	0	0	0	0	0	0	0	0
ASV_885	1	0	0	0	0	0	0	2
ASV_892	0	0	0	2	0	6	0	0
ASV_893	3	0	0	1	0	0	2	0
ASV_905	0	0	0	0	0	0	0	0
ASV_906	1	0	0	0	0	0	0	0
ASV_913	1	0	0	0	0	0	0	0
ASV_919	0	0	0	0	0	0	0	0
ASV_921	0	0	0	0	0	0	0	0
ASV_936	0	0	0	0	0	0	0	0
ASV_937	0	0	0	0	0	0	0	0
ASV_946	0	0	0	0	0	0	0	0
ASV_952	0	0	5	2	0	3	0	1
ASV_963	2	0	0	0	0	0	0	0
ASV_994	0	1	0	0	0	0	0	0
ASV_996	2	0	5	1	0	1	0	0
ASV_1012	0	0	0	0	0	0	0	0
ASV_1026	0	0	0	0	0	0	0	0
ASV_1051	0	0	0	0	0	0	7	0
ASV_1055	0	0	0	0	0	0	0	0
ASV_1078	0	0	0	0	0	0	0	0
ASV_1090	0	0	0	0	0	0	0	0
ASV_1104	0	0	0	0	0	0	0	0
ASV_1109	0	0	0	0	0	0	1	0
ASV_1169	0	0	0	0	0	0	0	0
ASV_1235	0	0	0	0	0	0	0	0
ASV_1264	0	0	0	0	0	2	0	0
ASV_1340	0	0	0	0	0	0	0	0
ASV_1361	0	0	0	0	0	0	0	0
ASV_1388	3	0	0	0	0	0	0	0
ASV_1395	0	0	0	0	0	0	0	0
ASV_1528	0	0	0	0	0	0	0	0
ASV_1615	0	0	1	0	0	0	0	0
ASV_1663	0	0	0	0	0	0	0	0
ASV_1664	34	12	3	28	6	43	18	9
ASV_1665	0	0	0	0	0	0	0	0
ASV_1666	0	0	0	0	0	0	0	0
