#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID
CN18FESPkoa_SC55_CC	CN18F	 39.02684	CC6	CC	18S	CN18FESPkoa_SC55	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP19	CN18F19
CN18FESPkoa_SC56_CC	CN18F	 39.84400	CC5	CC	18S	CN18FESPkoa_SC56	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP20	CN18F20
CN18FESPkoa_SC57_CC	CN18F	 35.21757	CC4	CC	18S	CN18FESPkoa_SC57	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP21	CN18F21
CN18FESPkoa_SC58_CC	CN18F	 30.91903	CC3	CC	18S	CN18FESPkoa_SC58	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP22	CN18F22
CN18FESPkoa_SC59_CC	CN18F	NA	CC2	CC	18S	CN18FESPkoa_SC59	3G_ESP	negative	environmental				
CN18Fc12_8_eDNA_HH	CN18F	 30.00000	HH9	HH	18S	CN18Fc12_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD22	CN18F22
CN18Fc19_5_eDNA_HH	CN18F	 40.00000	HH21	HH	18S	CN18Fc19_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD21	CN18F21
CN18Fc21_6_eDNA_HH	CN18F	 25.00000	HH33	HH	18S	CN18Fc21_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD20	CN18F20
CN18Fc22_6_eDNA_HH	CN18F	 35.00000	HH45	HH	18S	CN18Fc22_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD19	CN18F19
CN18Fc24_6_eDNA_HH	CN18F	 25.00000	HH57	HH	18S	CN18Fc24_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD18	CN18F18
CN18Fc25_5_eDNA_HH	CN18F	 30.00000	HH69	HH	18S	CN18Fc25_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD17	CN18F17
CN18Fc27_4_eDNA_HH	CN18F	 45.00000	HH81	HH	18S	CN18Fc27_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD16	CN18F16
CN18Fc29_6_eDNA_HH	CN18F	 30.00000	HH93	HH	18S	CN18Fc29_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD15	CN18F15
CN18Fc30_4_eDNA_HH	CN18F	 40.00000	HH10	HH	18S	CN18Fc30_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD14	CN18F14
CN18Fc32_4_eDNA_HH	CN18F	 40.00000	HH22	HH	18S	CN18Fc32_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD13	CN18F13
CN18Fc33_5_eDNA_HH	CN18F	 35.00000	HH34	HH	18S	CN18Fc33_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD12	CN18F12
CN18Fc35_5_eDNA_HH	CN18F	 30.00000	HH46	HH	18S	CN18Fc35_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD11	CN18F11
