#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_4932	Eukaryota	Cercozoa	unassigned	unassigned	unassigned	g_	s_
ASV_4933	Eukaryota	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_4934	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniaceae	g_	s_
ASV_4935	Eukaryota	Euglenozoa	unknown	Diplonemea	Diplonemidae	g_	s_
ASV_4936	Eukaryota	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	unassigned	s_
ASV_4937	Eukaryota	unknown	unknown	unknown	unknown	unknown	s_
ASV_4938	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_4939	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	unassigned
ASV_4940	Eukaryota	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	g_	s_
ASV_4941	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Peridiniaceae	g_	s_
ASV_4942	Eukaryota	Chytridiomycota	unassigned	unassigned	unassigned	g_	s_
ASV_4943	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_4944	Eukaryota	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	g_	s_
ASV_4945	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_4946	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4947	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	unassigned	unassigned
ASV_4948	Eukaryota	unknown	unknown	unknown	Nucleariidae	unassigned	unassigned
ASV_4949	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	g_	s_
ASV_4950	Eukaryota	unknown	Bolidophyceae	Parmales	Triparmaceae	g_	s_
ASV_4951	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Ptychocylididae	g_	s_
ASV_4952	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	g_	s_
ASV_4953	Eukaryota	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiaceae	Dinophysis	s_
ASV_4954	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_4955	Eukaryota	unknown	Labyrinthulomycetes	unknown	Thraustochytriaceae	g_	s_
ASV_4956	Eukaryota	unknown	Labyrinthulomycetes	unknown	Thraustochytriaceae	Oblongichytrium	unassigned
ASV_4957	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	s_
ASV_4958	Eukaryota	Euglenozoa	unknown	Diplonemea	unassigned	unassigned	unassigned
ASV_4959	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_4960	Eukaryota	Chytridiomycota	unassigned	unassigned	unassigned	g_	s_
ASV_4961	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_4962	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_4963	Eukaryota	Dinoflagellata	Dinophyceae	Thoracosphaerales	Thoracosphaeraceae	unassigned	unassigned
ASV_4964	Eukaryota	Dinoflagellata	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_4965	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_4966	Eukaryota	unknown	unknown	unknown	unknown	unknown	uncultured marine eukaryote
ASV_4967	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_4968	Eukaryota	Dinoflagellata	Dinophyceae	unassigned	unassigned	unassigned	unassigned
ASV_4969	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Rhogostomidae	Rhogostoma	s_
ASV_4970	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	unassigned
ASV_4971	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Rhizosoleniales	Rhizosoleniaceae	unassigned	unassigned
ASV_4972	Eukaryota	Chlorophyta	Chlorophyceae	Chlamydomonadales	Spondylomoraceae	Pascherina	Pascherina tetras
ASV_4973	Eukaryota	unknown	Raphidophyceae	Chattonellales	Chattonellaceae	Chattonella	unassigned
ASV_4974	Eukaryota	unknown	Labyrinthulomycetes	unknown	Thraustochytriaceae	g_	s_
ASV_4975	Eukaryota	unknown	unknown	unknown	unknown	unknown	phototrophic eukaryote
ASV_4976	Eukaryota	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_4977	Eukaryota	Dinoflagellata	Dinophyceae	Blastodiniales	unknown	Blastodinium	s_
ASV_4978	Eukaryota	Cercozoa	unknown	Cercomonadida	Cercomonadidae	g_	s_
ASV_4979	Eukaryota	unknown	unknown	unknown	Apusomonadidae	g_	s_
ASV_4980	Eukaryota	Chordata	Actinopteri	unassigned	unassigned	unassigned	unassigned
ASV_4981	Eukaryota	Annelida	Polychaeta	Xenopneusta	Urechidae	Urechis	unassigned
ASV_4982	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_4983	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Melosirales	Stephanopyxidaceae	g_	s_
ASV_4984	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unassigned	unassigned	unassigned
ASV_4985	Eukaryota	Dinoflagellata	Dinophyceae	Syndiniales	Syndiniaceae	g_	s_
ASV_4986	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Prymnesiaceae	unassigned	unassigned
ASV_4987	Eukaryota	Cercozoa	unknown	Thaumatomonadida	Thaumatomastigidae	Protaspis	s_
ASV_4988	Eukaryota	Dinoflagellata	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_4989	Eukaryota	Annelida	Polychaeta	Sabellida	Siboglinidae	Lamellibrachia	Lamellibrachia sp. L1 DH-2004
