"ASV","20190226_EB","CN18FESPkoa_SC1","CN18FESPkoa_SC59","CN18S_koa3G_SC29","CN18S_koa3G_SC30","CN18S_koa3G_SC31","CN18S_koa3G_SC57","CN18S_koa3G_SC58","CN18S_koa3G_SC59","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"f834ac1834e423cd1b84affc069933d0",0,0,0,8,106,170,0,0,0,284,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Shewanellaceae"," Shewanella"," "
"63d9248e1b7f6f9c277dc71d4531d3fb",0,0,0,0,0,260,0,0,0,260,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"8f737567a197057c3451c9372329bb72",0,0,0,72,36,42,0,0,74,224,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Burkholderiales"," Burkholderiaceae"," Cupriavidus"," "
"8e09caaee61bd482522f087e96e093de",41,0,26,26,28,8,30,15,45,219,"Bacteria"," Firmicutes"," Bacilli"," Bacillales"," Bacillaceae"," Geobacillus"," Parageobacillus_toebii"
"25d173b55a11f983edc6973005fc420c",0,0,0,0,0,212,0,0,0,212,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"b800acb03ffa7c5d442a0c698a0760c5",0,0,0,6,31,171,0,0,0,208,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Cellvibrionaceae"," "," "
"e5b6ba18b80a8bac3e2bd13013295603",0,192,0,0,0,0,0,0,0,192,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Sulfitobacter"," Sulfitobacter_sp."
"a900b6678ce86851fb16bfafb87f3326",0,109,0,13,17,48,0,0,0,187,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Thiomicrospirales"," Thioglobaceae"," SUP05_cluster"," uncultured_bacterium"
"1cb6ba1f21c7dc2f71df36a6b18f5354",0,176,0,0,0,0,0,0,0,176,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," "," "
"fe037094f4e4d88606f217b5c3d1f59c",0,22,0,0,9,144,0,0,0,175,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," "," "
"2b6e42bf9200244b950fdda2491dd4ca",0,50,0,0,0,110,0,0,0,160,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"be864a96a9abcfaeba16a05474d2e85f",0,0,0,55,0,100,0,0,0,155,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Shewanellaceae"," Psychrobium"," "
"b96ea0d3eaa1a062c1e8411c138f7e28",0,60,0,11,0,52,12,0,0,135,"Bacteria"," Cyanobacteria"," Cyanobacteriia"," Chloroplast"," Chloroplast"," Chloroplast"," "
"edd216ff26f28e9687d7705e7b4c2d2c",0,130,0,0,0,0,0,0,0,130,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," Shimia"," "
"6845fe55f2b4f051a22bc167ef2b80ea",0,0,0,0,26,102,0,0,0,128,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Oceanospirillales"," Oleiphilaceae"," Oleiphilus"," "
"38379288db02e084c195974a32fd0290",0,0,0,0,0,123,0,0,0,123,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Moritellaceae"," Moritella"," "
"7f31912e1d91e22e8c7483b00c716d55",0,0,0,0,11,110,0,0,0,121,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Polaribacter"," "
"183b1085ec7d9b20001265937f063710",0,68,0,0,0,52,0,0,0,120,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," Pseudofulvibacter"," uncultured_Flavobacteriaceae"
"d590796d091bd6fdb1baf424735462df",0,0,0,0,0,117,0,0,0,117,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Spongiibacteraceae"," Sinobacterium"," "
"e14f8d550bb9b5e14007e4695d673f9a",0,107,0,0,0,0,0,0,0,107,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Thalassotalea"," "
"1413e31f01c2e8cf3dec0fef9c6c6d08",0,104,0,0,0,0,0,0,0,104,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Cellvibrionaceae"," Aestuariicella"," uncultured_bacterium"
"626df7db50e41ff90bc187e2964cdd88",0,0,0,18,22,57,0,0,0,97,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Halieaceae"," Halioglobus"," "
"667056e7769500e21052bd12d4ffde76",0,57,0,0,0,34,0,0,0,91,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"8196a6a6346c6350d3601d22b0df2ab7",0,0,0,0,0,90,0,0,0,90,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Shewanellaceae"," Shewanella"," "
"e30f2240792c6b70b56bf50df34be4b6",0,0,0,0,0,87,0,0,0,87,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Rhodobacterales"," Rhodobacteraceae"," "," "
"26163cb0a0505475ebe875501a145f34",0,81,0,0,0,0,0,0,0,81,"Bacteria"," Bacteroidota"," Bacteroidia"," Flavobacteriales"," Flavobacteriaceae"," "," "
"e4304c9496921fcf8a88c1ef30dfd0eb",0,80,0,0,0,0,0,0,0,80,"Bacteria"," Proteobacteria"," Alphaproteobacteria"," Sphingomonadales"," Sphingomonadaceae"," Erythrobacter"," Erythrobacter_sp."
"acebaf0e1d8b741c8a7b36c5bf093863",0,0,15,6,28,0,24,4,2,79,"Bacteria"," Deinococcota"," Deinococci"," Thermales"," Thermaceae"," Thermus"," Thermus_thermophilus"
