"ASV","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC59_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_818",0,0,0,0,0,0,0,0,0,0,0,0,311,0,1851,158,0,0,0,0,0,0,0,0,0,0,0,2320,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Rhizosoleniales","Rhizosoleniaceae","unassigned","unassigned"
"ASV_4124",0,0,0,628,831,696,0,0,66,87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310,"Eukaryota","Chytridiomycota","unassigned","unassigned","unassigned","g_","s_"
"ASV_935",8,62,123,180,282,181,0,0,163,0,0,0,6,482,173,234,166,172,0,0,0,0,0,0,0,0,0,2232,"Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","unassigned"
"ASV_21",0,0,0,0,0,0,0,0,0,0,31,0,618,0,181,236,288,777,0,0,0,0,0,0,0,0,0,2131,"Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","unassigned","unassigned"
"ASV_606",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2022,0,0,0,0,0,0,0,0,0,2024,"Eukaryota","Cercozoa","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,340,916,536,0,0,0,0,0,0,0,0,0,1857,"Eukaryota","Bacillariophyta","Bacillariophyceae","Naviculales","Pleurosigmataceae","unassigned","unassigned"
"ASV_4098",0,0,0,0,0,0,0,0,0,0,1688,0,82,25,32,0,0,0,0,0,0,0,0,0,0,0,0,1827,"Eukaryota","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora fuscescens"
"ASV_412",0,0,0,1,236,1,2,3,2,0,637,0,2,1,877,1,4,5,27,0,0,0,14,0,0,0,0,1813,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Cochlodinium","unassigned"
"ASV_793",0,0,0,430,1202,0,0,0,1,0,74,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,1713,"Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_1453",0,0,0,0,0,1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1694,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Amoebophryaceae","Amoebophrya","s_"
"ASV_3",0,1,313,122,753,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,28,0,0,0,0,0,1585,"Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"ASV_1676",0,0,0,1568,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584,"Eukaryota","Dinoflagellata","Dinophyceae","Syndiniales","Duboscquellidae","Duboscquella","unassigned"
"ASV_258",0,0,0,385,605,1,4,7,9,0,407,3,13,8,36,6,19,6,29,1,0,0,1,0,0,0,1,1541,"Eukaryota","unknown","unknown","unknown","unknown","unknown","phototrophic eukaryote"
"ASV_4060",0,0,0,0,948,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,555,1507,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniales","Warnowiaceae","Proterythropsis","Proterythropsis sp. BSL-2009a"
"ASV_4118",0,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1447,"Eukaryota","Streptophyta","unknown","Cucurbitales","Cucurbitaceae","Cucumis","Cucumis sativus"
"ASV_204",0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1410,"Eukaryota","unknown","unknown","Choanoflagellata","Stephanoecidae","Calliacantha","Calliacantha natans"
"ASV_659",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1403,1,0,0,0,0,0,0,0,0,0,1406,"Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
