#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID
CN18S_koa3G_SC31_NN	CN18S	NA	NN80	NN		CN18S_koa3G_SC31	NA	negative	environmental				
CN18S_koa3G_SC57_NN	CN18S	NA	NN79	NN		CN18S_koa3G_SC57	NA	negative	environmental				
CN18S_koa3G_SC58_NN	CN18S	NA	NN78	NN		CN18S_koa3G_SC58	NA	negative	environmental				
CN18S_koa3G_SC59_NN	CN18S	NA	NN77	NN		CN18S_koa3G_SC59	NA	negative	environmental				
CN18Sc09_2_eDNA_NN	CN18S	200.00000	NN55	NN		CN18Sc09_2_eDNA	NA	environmental	environmental	CTD		CTD10	CN18S10
CN18Sc10_2_eDNA_NN	CN18S	200.00000	NN56	NN		CN18Sc10_2_eDNA	NA	environmental	environmental	CTD		CTD9	CN18S9
CN18Sc14_2_eDNA_NN	CN18S	195.00000	NN57	NN		CN18Sc14_2_eDNA	NA	environmental	environmental	CTD		CTD8	CN18S8
CN18Sc14_8_eDNA_NN	CN18S	 30.00000	NN58	NN		CN18Sc14_8_eDNA	NA	environmental	environmental	CTD		CTD7	CN18S7
CN18Sc15_2_eDNA_NN	CN18S	195.00000	NN59	NN		CN18Sc15_2_eDNA	NA	environmental	environmental	CTD		CTD6	CN18S6
CN18Sc15_8_eDNA_NN	CN18S	 30.00000	NN60	NN		CN18Sc15_8_eDNA	NA	environmental	environmental	CTD		CTD5	CN18S5
CN18Sc18_2_eDNA_NN	CN18S	200.00000	NN61	NN		CN18Sc18_2_eDNA	NA	environmental	environmental	CTD		CTD4	CN18S4
CN18Sc18_8_eDNA_NN	CN18S	 30.00000	NN62	NN		CN18Sc18_8_eDNA	NA	environmental	environmental	CTD		CTD3	CN18S3
CN18Sc27_2_eDNA_NN	CN18S	200.00000	NN63	NN		CN18Sc27_2_eDNA	NA	environmental	environmental	CTD		CTD2	CN18S2
CN18Sc27_8_eDNA_NN	CN18S	 30.00000	NN65	NN		CN18Sc27_8_eDNA	NA	environmental	environmental	CTD		CTD1	CN18S1
