ID	CN18FBP1pr	CN18FBP2pr	CN18FBP3pr	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18FESPkoa_SC1	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18FESPkoa_SC60	CN18S_koa3G_BP1	CN18S_koa3G_BP2	CN18S_koa3G_BP3	CN18S_koa3G_SC29	CN18S_koa3G_SC30	CN18S_koa3G_SC31	CN18S_koa3G_SC60	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49
d__Bacteria;p__Nitrospinota	0.0	0.0	0.0	52.0	369.0	691.0	431.0	470.0	1119.0	25.0	642.0	780.0	240.0	684.0	440.0	587.0	506.0	489.0	633.0	522.0	338.0	274.0	314.0	157.0	0.0	243.0	580.0	494.0	306.0	996.0	466.0	656.0	389.0	825.0	604.0	714.0	627.0	726.0	487.0	594.0	855.0	677.0	502.0	626.0	658.0	924.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	602.0	583.0	620.0	401.0	557.0	8.0	545.0	39.0	519.0	14.0	457.0	638.0	0.0	670.0	0.0	621.0	0.0	593.0	749.0	721.0
d__Bacteria;p__PAUC34f	0.0	0.0	0.0	8.0	28.0	63.0	31.0	47.0	135.0	0.0	67.0	82.0	16.0	60.0	45.0	51.0	56.0	55.0	57.0	54.0	34.0	37.0	33.0	23.0	0.0	24.0	30.0	55.0	32.0	101.0	54.0	92.0	57.0	87.0	69.0	76.0	65.0	87.0	42.0	88.0	90.0	71.0	31.0	75.0	79.0	77.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	13.0	41.0	14.0	31.0	0.0	25.0	0.0	49.0	0.0	15.0	19.0	0.0	38.0	0.0	28.0	0.0	23.0	47.0	48.0
d__Bacteria;p__Patescibacteria	0.0	0.0	0.0	0.0	2.0	3.0	0.0	4.0	5.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	5.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	3.0	0.0	2.0	0.0	2.0	6.0	0.0	0.0	5.0	10.0	4.0	14.0	11.0	61.0	0.0	8.0	13.0	5.0	6.0	7.0	367.0	15.0	11.0	6.0	206.0	94.0	6.0	12.0	0.0	88.0	14.0	0.0	3.0	18.0	14.0
d__Bacteria;p__Planctomycetota	598.0	481.0	530.0	112.0	1049.0	1533.0	1412.0	1460.0	2642.0	39.0	1898.0	1655.0	633.0	1919.0	1415.0	1615.0	1821.0	1416.0	1626.0	1514.0	1252.0	931.0	1000.0	687.0	27.0	927.0	1776.0	1278.0	987.0	2298.0	1371.0	1811.0	933.0	2619.0	1982.0	2013.0	1906.0	1931.0	1484.0	1664.0	2659.0	2038.0	1462.0	1865.0	1817.0	2268.0	780.0	115.0	172.0	128.0	0.0	3.0	23.0	52.0	1031.0	1126.0	1197.0	1065.0	1060.0	662.0	1133.0	1160.0	1027.0	1647.0	3796.0	1069.0	220.0	1269.0	431.0	1354.0	53.0	1051.0	1470.0	1368.0
d__Bacteria;p__Poribacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	4.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	6.0	0.0	6.0	0.0	7.0	5.0	2.0
d__Bacteria;p__Proteobacteria	28896.0	23006.0	28000.0	2016.0	18473.0	28890.0	21670.0	22267.0	45409.0	665.0	31442.0	29429.0	9766.0	30957.0	25170.0	27823.0	29684.0	23841.0	29109.0	26026.0	22170.0	19440.0	20129.0	16011.0	70615.0	18355.0	26393.0	22413.0	15066.0	34423.0	24749.0	25224.0	13345.0	35869.0	30969.0	30697.0	26655.0	26906.0	23478.0	28673.0	32693.0	31256.0	17417.0	27159.0	23799.0	28919.0	23218.0	17917.0	20398.0	23211.0	6633.0	14252.0	50622.0	14662.0	25048.0	27163.0	31092.0	21739.0	27869.0	14875.0	28550.0	34798.0	27526.0	17657.0	137041.0	22304.0	15937.0	21858.0	19242.0	25579.0	1349.0	23028.0	25654.0	22949.0
d__Bacteria;p__SAR324_clade(Marine_group_B)	68.0	23.0	49.0	49.0	656.0	986.0	820.0	700.0	1544.0	8.0	1223.0	1056.0	276.0	1054.0	839.0	833.0	710.0	820.0	909.0	649.0	605.0	671.0	679.0	415.0	0.0	566.0	851.0	936.0	483.0	1110.0	984.0	774.0	315.0	1183.0	1141.0	1052.0	1019.0	719.0	944.0	1306.0	1231.0	1075.0	591.0	826.0	596.0	683.0	26.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3392.0	3588.0	4866.0	2107.0	3252.0	20.0	3450.0	404.0	4986.0	41.0	3432.0	3290.0	169.0	3722.0	24.0	3099.0	3.0	3079.0	4062.0	4010.0
d__Bacteria;p__Spirochaetota	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
d__Bacteria;p__Sva0485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Verrucomicrobiota	1825.0	1496.0	1797.0	237.0	1064.0	2080.0	1363.0	1799.0	3253.0	59.0	2231.0	2144.0	712.0	2132.0	1479.0	1938.0	2138.0	1064.0	1806.0	1492.0	1506.0	1138.0	1090.0	711.0	19.0	1173.0	1807.0	1471.0	991.0	2836.0	1553.0	2061.0	1261.0	2707.0	2213.0	2230.0	2214.0	2281.0	1529.0	1962.0	2987.0	2393.0	1428.0	1916.0	2118.0	2696.0	1757.0	640.0	702.0	701.0	12.0	0.0	36.0	434.0	623.0	685.0	814.0	581.0	638.0	737.0	680.0	1833.0	800.0	1581.0	4388.0	703.0	335.0	884.0	548.0	775.0	76.0	740.0	934.0	880.0
d__Bacteria;p__WOR-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__WPS-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
