sample_name,season,sampling_platform,sampling_device,sample_type,depth_m,depth_group,temp,salinity,chlA,O2_ML,control_status,control_type,ESP_CTD_match,station_number,location,latitude,longitude,lat-lon,collection_date
CN18FESPkoa_SC37,Fall,Tethys,3G_ESP,ESP,31,21-40,14.9359,33.5854,2.5326,6.1437,exp,exp,37,NA,Field,36.97408736,-122.3493283,36.97408736N-122.3493283W,10-Sep-18
CN18FESPkoa_SC40,Fall,Tethys,3G_ESP,ESP,25,21-40,10.4159,33.7547,0.4239,2.82726,exp,exp,40,NA,Field,36.99802134,-122.3665361,36.99802134N-122.3665361W,9-Sep-18
CN18FESPkoa_SC41,Fall,Tethys,3G_ESP,ESP,28,21-40,10.7763,33.7188,0.4463,3.07529,exp,exp,41,NA,Field,37.00412075,-122.3806972,37.00412075N-122.3806972W,9-Sep-18
CN18FESPkoa_SC43,Fall,Tethys,3G_ESP,ESP,32,21-40,11.6593,33.675,0.5908,3.75907,exp,exp,43,NA,Field,36.99387104,-122.4028284,36.99387104N-122.4028284W,9-Sep-18
CN18FESPkoa_SC44,Fall,Tethys,3G_ESP,ESP,37,21-40,12.4462,33.6599,0.7933,4.1891,exp,exp,44,NA,Field,36.99754351,-122.4062833,36.99754351N-122.4062833W,9-Sep-18
CN18FESPkoa_SC46,Fall,Tethys,3G_ESP,ESP,39,21-40,13.8335,33.5973,1.2268,5.09113,exp,exp,46,NA,Field,37.00215021,-122.416689,37.00215021N-122.416689W,9-Sep-18
CN18FESPkoa_SC47,Fall,Tethys,3G_ESP,ESP,29,21-40,15.1205,33.5831,4.4793,6.54392,exp,exp,47,NA,Field,36.99733801,-122.4174894,36.99733801N-122.4174894W,9-Sep-18
CN18FESPkoa_SC49,Fall,Tethys,3G_ESP,ESP,48,41-50,8.7091,34.0189,0.4071,1.59598,exp,exp,49,NA,Field,37.00071314,-122.4158052,37.00071314N-122.4158052W,9-Sep-18
CN18FESPkoa_SC52,Fall,Tethys,3G_ESP,ESP,28,21-40,10.6724,33.7395,0.4164,3.04069,exp,exp,52,NA,Field,37.01585975,-122.4417113,37.01585975N-122.4417113W,8-Sep-18
CN18FESPkoa_SC53,Fall,Tethys,3G_ESP,ESP,34,21-40,11.1575,33.7096,0.4488,3.31673,exp,exp,53,NA,Field,37.00982512,-122.4511858,37.00982512N-122.4511858W,8-Sep-18
CN18FESPkoa_SC55,Fall,Tethys,3G_ESP,ESP,35,21-40,12.866,33.6048,0.7372,4.83446,exp,exp,55,NA,Field,37.00454691,-122.4667104,37.00454691N-122.4667104W,8-Sep-18
CN18FESPkoa_SC56,Fall,Tethys,3G_ESP,ESP,38,21-40,13.3439,33.5828,1.1864,5.16034,exp,exp,56,NA,Field,37.00067151,-122.4676331,37.00067151N-122.4676331W,8-Sep-18
CN18FESPkoa_SC57,Fall,Tethys,3G_ESP,ESP,35,21-40,14.0068,33.5897,1.319,5.21485,exp,exp,57,NA,Field,36.99549543,-122.4682857,36.99549543N-122.4682857W,8-Sep-18
CN18FESPkoa_SC58,Fall,Tethys,3G_ESP,ESP,29,21-40,15.5854,33.5847,3.0004,6.63911,exp,exp,58,NA,Field,36.99277552,-122.5244916,36.99277552N-122.5244916W,7-Sep-18
CN18SESPkoa_SC36,Spring,Makai,3G_ESP,ESP,30,21-40,10.26982819,33.77007034,0.474012862,4.385419519,exp,exp,36,27,TS,36.983,-122.52,36.983N-122.52W,8-Jun-18
CN18SESPkoa_SC37,Spring,Makai,3G_ESP,ESP,200,195-200,8.288688442,34.08066089,0.080833281,1.975259282,exp,exp,37,27,TS,36.983,-122.52,36.983N-122.52W,8-Jun-18
CN18SESPkoa_SC39,Spring,Makai,3G_ESP,ESP,30,21-40,10.86568478,33.73652772,1.465760174,5.203633739,exp,exp,39,18,TS,36.983,-122.52,36.983N-122.52W,7-Jun-18
CN18SESPkoa_SC40,Spring,Makai,3G_ESP,ESP,200,195-200,8.27519063,34.08876802,0.105150356,1.926070169,exp,exp,40,18,TS,36.983,-122.52,36.983N-122.52W,7-Jun-18
CN18SESPkoa_SC41,Spring,Makai,3G_ESP,ESP,30,21-40,11.03750838,33.80190099,1.700372405,6.052118077,exp,exp,41,15,TS,36.983,-122.52,36.983N-122.52W,7-Jun-18
CN18SESPkoa_SC42,Spring,Makai,3G_ESP,ESP,200,195-200,8.57032722,34.02819963,0.080470672,2.323526505,exp,exp,42,15,TS,36.983,-122.52,36.983N-122.52W,7-Jun-18
CN18SESPkoa_SC44,Spring,Makai,3G_ESP,ESP,30,21-40,11.01622571,33.7998778,1.747639134,6.145907252,exp,exp,44,14,TS,36.983,-122.52,36.983N-122.52W,7-Jun-18
CN18SESPkoa_SC45,Spring,Makai,3G_ESP,ESP,200,195-200,8.418864762,34.06005362,0.085174884,2.122532881,exp,exp,45,14,TS,36.983,-122.52,36.983N-122.52W,7-Jun-18
CN18SESPkoa_SC47,Spring,Makai,3G_ESP,ESP,200,195-200,8.405669543,34.0578001,0.079528255,2.144559356,exp,exp,47,10,TS,36.983,-122.52,36.983N-122.52W,6-Jun-18
CN18SESPkoa_SC49,Spring,Makai,3G_ESP,ESP,200,195-200,8.391116438,34.06403946,0.08075001,2.093012776,exp,exp,49,9,TS,36.983,-122.52,36.983N-122.52W,6-Jun-18
CN18S_koa3G_BN1post,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,11-Jun-18
CN18S_koa3G_BN1pre,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,1-Jun-18
CN18S_koa3G_BN2post,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,11-Jun-18
CN18S_koa3G_BN2pre,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,1-Jun-18
CN18S_koa3G_BN3post,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,11-Jun-18
CN18S_koa3G_BN3pre,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,1-Jun-18
CN18FESPkoa_SC1,Fall,NA,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,17-Sep-18
CN18S_koa3G_SC29,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,NA,NA,NA,NA,11-Jun-18
CN18S_koa3G_SC30,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,NA,NA,NA,NA,11-Jun-18
CN18S_koa3G_SC31,Spring,Makai,3G_ESP,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,NA,NA,NA,NA,11-Jun-18
20190226_EB,NA,NA,NA,NC,NA,NA,NA,NA,NA,NA,control,NC,NA,NA,Lab,NA,NA,NA,1-Jun-18
