#OTUID	CN18Sc14_8_eDNA	CN18Sc15_8_eDNA	CN18Sc18_8_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC39	CN18SESPkoa_SC41	CN18SESPkoa_SC44
d0d4c2386a6633f2e9d38fe594db55c2	118	220	820	157	4346	1591	224	43
c98f01664c8b5c71736c631c6fdb6c80	212	0	30	0	84	0	0	0
c30f384b7a200b71235a6650e1aad14d	170	0	36	0	267	0	0	0
70012c773d69336cf78d650e26c2236e	58	13	131	53	549	31	13	0
1263b941de1a0c2fb61d10f6b7e273da	0	2105	497	1585	1493	369	825	85
23b654cbbea7606890cffdf88b65101f	0	0	145	0	642	66	0	0
04db8fa0f286c42335556af597b5c346	38	11	41	38	112	4	0	0
84cec816b1ff951af7b866347fc9ed47	102	0	64	0	488	0	0	0
2b6e42bf9200244b950fdda2491dd4ca	198	6	217	47	293	21	0	0
5e6478050eeb1ae21c8d4a1c779b73f4	197	0	130	0	323	0	0	0
cb5ec78471cee394f3979e8918c5af2b	42	459	171	83	1623	130	738	56
06b79ef377f389567e2c2c0f086257cf	0	434	1238	643	1853	462	427	54
1040e8aaec38d48d4a95fa1c3390a6c1	213	0	100	25	307	24	0	0
62ecc763393ec2da50034523c30663e3	16	0	38	10	139	0	0	0
9b9813f1a766e72ab381bf56cd3c9c3c	0	0	0	0	43	0	0	0
7b3d60ba8f753f9cd0ccc217bec52f6d	247	0	57	55	151	0	0	0
28f9b5f1a2d6d2a444484f891ad1e944	10	0	5	0	40	0	0	0
12a678de1ab697ad0c99cd9cbf46fd90	245	0	34	13	104	0	0	0
f6bc87821a43b3c368203a0a063ddf56	213	90	413	90	1403	118	187	45
e3bd4c321c5364d01871ebb503a1dc7e	0	0	0	0	0	0	0	0
138c0d948474e8263de2f4323cff8493	0	0	4	6	84	5	15	0
84c3e82b27365fd3b60f4e25d87392b4	113	0	100	0	344	0	0	0
3f9f49c6bb456d8589809fcfd4fa80d9	207	0	13	0	94	0	0	0
f9c727b7b3130ac0111e683f44ddd569	0	32	71	97	129	0	0	0
