#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID	depth_cat
CN18Fc36_6_eDNA_HH	CN18F	20	HH58	HH	18S	CN18Fc36_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD10	CN18F10	0-25
CN18Fc38_5_eDNA_HH	CN18F	30	HH70	HH	18S	CN18Fc38_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD9	CN18F9	27-50
CN18Fc40_6_eDNA_HH	CN18F	25	HH82	HH	18S	CN18Fc40_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD8	CN18F8	0-25
CN18Fc41_6_eDNA_HH	CN18F	25	HH94	HH	18S	CN18Fc41_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD7	CN18F7	0-25
CN18Fc43_5_eDNA_HH	CN18F	30	HH11	HH	18S	CN18Fc43_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD6	CN18F6	27-50
CN18Fc44_8_eDNA_HH	CN18F	20	HH23	HH	18S	CN18Fc44_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD5	CN18F5	0-25
CN18Fc46_8_eDNA_HH	CN18F	10	HH35	HH	18S	CN18Fc46_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD4	CN18F4	0-25
CN18Fc47_6_eDNA_HH	CN18F	25	HH47	HH	18S	CN18Fc47_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD3	CN18F3	0-25
CN18Fc49_6_eDNA_HH	CN18F	25	HH59	HH	18S	CN18Fc49_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD2	CN18F2	0-25
CN18Fc51_5_eDNA_HH	CN18F	35	HH71	HH	18S	CN18Fc51_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD1	CN18F1	27-50
