#OTUID	CN18SESPkoa_SC36_Y	CN18SESPkoa_SC39_Y	CN18SESPkoa_SC41_Y	CN18SESPkoa_SC44_Y	CN18Sc14_8_eDNA_Y	CN18Sc15_8_eDNA_Y	CN18Sc18_8_eDNA_Y	CN18Sc27_8_eDNA_Y
ASV_8251	1901	787	3304	2369	891	2399	1862	507
ASV_8252	0	0	0	0	0	0	0	0
ASV_8253	1	36	27	50	0	46	7	0
ASV_8254	188	114	92	55	48	164	51	18
ASV_8257	169	26	29	20	384	63	142	133
ASV_8259	201	160	33	40	22	113	87	158
ASV_8260	0	0	0	0	0	3	1	0
ASV_8261	0	0	0	0	0	0	2	0
ASV_8262	9	15	2	6	0	3	87	0
ASV_8263	0	0	0	0	0	0	0	0
ASV_8264	487	194	43	45	188	59	249	32
ASV_8265	0	0	0	0	0	0	0	0
ASV_8269	0	1	0	0	0	0	0	0
ASV_8270	265	78	165	102	95	28	121	48
ASV_8271	3594	6329	1198	1971	20	72	261	5
ASV_8272	331	87	32	58	5	47	232	203
ASV_8274	0	0	0	0	0	0	0	0
ASV_8276	0	0	0	0	0	0	0	0
ASV_8277	0	0	0	0	0	0	0	0
ASV_8279	0	0	0	0	0	0	0	0
ASV_8280	0	0	0	0	0	0	0	0
ASV_8281	10	0	0	0	0	0	0	0
ASV_8283	0	0	0	0	0	0	0	0
ASV_8284	0	0	0	0	0	0	0	0
ASV_8286	22	38	103	76	0	108	19	25
ASV_8287	0	0	0	0	0	0	893	498
ASV_8289	0	0	2	121	0	1606	0	0
ASV_8290	600	445	387	519	112	600	328	387
ASV_8291	758	196	1	24	0	123	43	2979
ASV_8293	0	0	0	0	0	0	0	0
ASV_8294	0	0	0	1	0	0	0	0
ASV_8296	1	1	1	3	442	3	0	2
ASV_8298	0	0	0	0	0	0	0	0
ASV_8301	216	54	7	10	545	3	54	0
ASV_8302	40	16	75	67	26	31	25	15
ASV_8303	644	171	533	425	709	473	333	225
ASV_8304	303	260	41	57	29	107	61	74
ASV_8305	0	0	0	0	0	0	0	0
ASV_8307	708	1280	400	644	223	193	163	6
ASV_8308	506	671	1655	1437	28	1038	479	624
ASV_8309	0	0	0	0	3	0	0	0
ASV_8310	2	5	3	8	0	0	0	0
ASV_8311	36	33	503	357	6	429	38	65
ASV_8312	2	5	5	4	0	2	0	0
ASV_8314	274	68	91	128	119	32	93	32
ASV_8315	0	1	0	0	0	0	0	0
ASV_8316	6	1	25	21	0	79	2	50
ASV_8318	0	0	0	0	0	0	0	0
ASV_8319	0	0	0	0	765	0	0	1161
ASV_8320	0	3	0	0	0	0	0	0
ASV_8321	0	0	0	0	0	277	0	0
ASV_8323	0	0	0	0	0	0	0	0
ASV_8324	36	26	15	7	0	0	2	0
ASV_8325	0	0	0	0	0	0	0	0
ASV_8326	0	0	0	0	0	0	0	0
ASV_8328	0	0	0	0	0	0	0	0
ASV_8329	0	0	0	0	0	0	0	0
ASV_8330	0	0	0	0	0	1	0	0
ASV_8331	145	16	627	477	251	208	55	48
ASV_8332	0	0	0	0	0	0	0	0
ASV_8333	0	0	0	0	0	0	0	0
ASV_8334	5	0	0	0	0	0	0	0
ASV_8337	0	0	0	0	0	0	0	0
ASV_8339	0	0	0	0	0	0	0	0
ASV_8340	24	1	0	0	0	1	17	4
ASV_8341	16	11	20	35	9	32	0	3
ASV_8345	0	0	0	0	0	0	0	0
ASV_8346	0	0	0	0	0	0	0	0
ASV_8347	0	0	0	0	0	0	18	6
ASV_8348	0	0	0	0	0	0	0	0
ASV_8349	14	23	16	9	0	1	5	0
ASV_8350	229	209	163	195	48	1013	393	1232
ASV_8351	0	1	1	1	0	0	2	0
ASV_8352	0	2	0	0	0	0	2	0
ASV_8353	0	0	0	0	0	0	0	0
ASV_8354	0	0	0	0	0	0	0	0
ASV_8355	0	0	0	0	0	0	0	0
ASV_8356	0	0	0	0	0	0	0	0
ASV_8357	0	0	9	3	0	6	0	0
ASV_8358	1	0	0	0	0	0	0	0
ASV_8360	3	3	13	28	116	17	0	1
ASV_8361	997	304	894	664	399	701	466	340
ASV_8363	0	0	0	3	93	0	2	0
ASV_8365	15	0	7	1	2	5	17	12
ASV_8367	557	411	522	429	5	387	385	404
ASV_8372	0	0	0	0	0	0	0	0
ASV_8373	0	0	0	0	0	836	0	0
ASV_8376	0	0	0	0	0	0	0	0
ASV_8379	0	0	0	0	1	0	0	0
ASV_8381	918	1254	209	238	187	464	809	487
ASV_8384	0	0	0	0	0	0	0	0
ASV_8385	0	0	0	0	0	0	0	0
ASV_8387	6	4	8	3	4	0	0	0
ASV_8388	0	0	0	0	0	0	0	0
ASV_8389	0	0	0	0	0	0	0	0
ASV_8390	339	129	417	329	4	3109	427	2568
ASV_8391	0	0	0	0	0	0	0	0
ASV_8392	44	1	10	3	0	0	20	3
ASV_8393	0	0	0	0	103	0	0	0
ASV_8394	0	0	0	0	0	0	0	0
ASV_8395	31	68	64	108	3	33	24	12
ASV_8396	3	9	44	29	7	62	16	36
ASV_8397	0	0	0	0	2	0	0	0
ASV_8400	0	21	0	0	0	2	17	3
ASV_8402	0	2	0	0	0	0	0	13
ASV_8404	0	0	0	0	0	0	0	0
ASV_8405	3	12	0	1	0	6	6	0
ASV_8406	0	0	0	0	0	0	0	0
ASV_8407	6	6	0	3	10	1	5	2
ASV_8408	0	0	0	0	0	0	0	0
ASV_8409	0	0	0	0	0	0	0	0
ASV_8410	4	4	0	0	23	15	2	0
ASV_8412	0	0	0	0	0	0	0	0
ASV_8416	0	0	0	0	0	0	0	0
ASV_8418	0	0	0	0	0	0	0	0
ASV_8420	0	0	0	0	0	0	0	0
ASV_8422	0	0	0	0	0	0	0	0
ASV_8423	0	0	0	0	0	0	0	0
ASV_8424	0	0	12	11	10	11	6	0
ASV_8426	2	9	0	0	0	194	0	55
ASV_8428	0	0	0	0	0	0	0	0
ASV_8430	0	0	0	0	0	0	0	0
ASV_8431	0	0	0	0	0	0	0	0
ASV_8432	0	0	0	0	0	0	0	0
ASV_8433	13	1	2	13	0	3	0	0
ASV_8434	0	0	0	1	78	0	0	0
ASV_8437	482	123	65	7	0	196	102	939
ASV_8438	0	0	0	0	0	0	0	0
ASV_8440	5	0	0	0	2	0	0	0
ASV_8441	0	0	0	0	0	0	0	0
ASV_8442	68	21	5	12	42	4	10	3
ASV_8443	0	0	0	0	0	0	0	0
ASV_8444	1	0	0	1	0	0	0	0
ASV_8447	0	0	0	0	0	0	0	0
ASV_8461	18	0	7	9	63	5	2	0
ASV_8462	3	0	0	2	0	0	0	0
ASV_8463	0	0	0	0	0	0	0	0
ASV_8465	25	2	2	3	96	0	8	0
ASV_8466	1	0	0	0	0	0	0	0
ASV_8467	23	6	0	0	2	0	0	2
ASV_8471	54	48	7	18	16	68	195	840
ASV_8472	0	0	0	0	0	0	0	0
ASV_8474	0	0	0	0	0	0	0	0
ASV_8475	0	0	0	0	0	0	0	0
ASV_8478	0	0	0	0	0	0	0	0
ASV_8479	0	0	0	0	0	0	0	0
ASV_8480	543	362	270	230	18	210	408	83
ASV_8481	7	0	7	0	10	2	0	0
ASV_8482	0	0	0	0	4	0	0	0
ASV_8483	0	1	0	0	100	0	0	0
ASV_8484	5	4	0	0	0	0	1	0
ASV_8485	0	0	0	0	0	0	0	0
ASV_8486	0	0	0	0	23	0	0	0
ASV_8487	0	0	0	0	0	0	0	0
ASV_8490	16	6	0	0	0	0	0	0
ASV_8491	0	2	1	0	18	0	0	0
ASV_8493	54	53	22	29	0	7	2	3
ASV_8494	96	44	495	351	11	322	37	162
ASV_8496	0	0	0	0	0	0	0	0
ASV_8497	17	0	1	0	0	0	0	0
ASV_8498	0	0	0	0	0	0	0	0
ASV_8499	0	0	0	0	0	0	0	0
ASV_8502	374	262	862	1006	13	746	264	426
ASV_8505	0	0	0	0	0	0	0	0
ASV_8506	0	0	0	0	0	0	0	0
ASV_8507	5	7	14	13	10	0	3	4
ASV_8510	0	0	0	0	0	0	0	0
ASV_8513	0	0	0	5	20	1	0	0
ASV_8516	0	0	0	0	0	0	0	0
ASV_8518	0	0	0	0	0	0	0	0
ASV_8520	3	1	6	7	0	11	0	1
ASV_8521	82	52	40	21	1	31	27	46
ASV_8522	0	0	0	0	0	0	0	0
ASV_8523	0	0	0	0	0	0	0	0
ASV_8524	0	0	4	6	0	0	0	0
ASV_8525	12	4	5	3	13	6	9	5
ASV_8527	1291	1082	280	368	425	2110	962	3549
ASV_8528	13	1	1	1	41	6	9	0
ASV_8529	18	12	123	103	8	435	19	265
ASV_8532	0	0	0	0	0	0	0	0
ASV_8533	10	9	0	0	0	2	6	0
ASV_8535	1	1	1	0	1	0	7	0
ASV_8538	2	1	0	0	0	0	2	0
ASV_8541	90	92	473	400	3	1339	83	1205
ASV_8543	0	0	0	0	0	0	0	0
ASV_8544	0	0	0	2	0	0	0	0
ASV_8545	71	16	6	10	0	7	0	0
ASV_8547	0	0	0	0	0	0	0	0
ASV_8548	28	2	2	1	141	4	20	0
ASV_8549	0	0	0	0	0	0	0	0
ASV_8550	0	0	0	0	0	0	0	0
ASV_8551	7	7	138	61	1	316	4	281
ASV_8552	0	0	0	0	0	0	0	0
ASV_8553	8	41	3	4	0	2	5	2
ASV_8555	0	0	0	0	0	0	0	0
ASV_8559	0	0	0	0	0	0	0	0
ASV_8564	6	2	12	6	0	6	3	0
ASV_8566	0	0	0	0	0	0	0	0
ASV_8569	17	0	0	0	0	0	0	0
ASV_8570	0	0	0	0	0	0	1	0
ASV_8571	2	0	3	4	2	2	6	0
ASV_8574	4	1	0	0	9	2	0	0
ASV_8575	8	8	8	27	0	36	9	20
ASV_8576	1044	1287	223	267	10	106	178	63
ASV_8580	0	0	0	0	0	0	0	0
ASV_8583	8	0	0	0	7	0	3	7
ASV_8584	16	2	57	52	57	24	0	8
ASV_8585	0	0	0	0	27	0	0	0
ASV_8586	51	40	17	40	2	27	7	14
ASV_8587	124	24	70	140	1	274	4	105
ASV_8588	0	0	0	0	0	0	0	0
ASV_8589	0	0	0	0	0	0	0	0
ASV_8591	0	0	0	0	0	0	0	0
ASV_8592	0	0	0	0	8	0	0	0
ASV_8593	11	8	4	5	0	0	2	0
ASV_8600	2	0	0	0	193	0	0	0
ASV_8601	0	0	0	0	0	0	0	0
ASV_8604	0	0	0	0	0	0	0	0
ASV_8605	0	0	0	0	0	0	0	0
ASV_8606	0	0	0	0	0	0	0	0
ASV_8607	0	0	0	0	0	0	0	0
ASV_8609	6	0	0	0	1	0	0	0
ASV_8611	53	7	12	14	82	11	27	7
ASV_8612	184	55	81	96	123	63	71	11
ASV_8615	71	8	2	2	13	1	0	59
ASV_8616	33	1	0	0	3	0	1	0
ASV_8617	0	0	0	0	0	0	0	0
ASV_8618	5	0	0	4	0	3	6	4
ASV_8619	0	0	0	0	0	0	0	0
ASV_8620	6	9	8	17	7	61	8	61
ASV_8621	2	9	2	0	0	4	0	0
ASV_8622	0	0	0	0	0	0	0	0
ASV_8623	6	2	49	20	3	95	14	115
ASV_8625	0	0	0	0	0	0	0	0
ASV_8628	0	0	0	0	0	0	0	0
ASV_8629	5	0	4	10	7	4	0	17
ASV_8630	459	82	15	29	44	31	98	108
ASV_8631	135	50	734	748	8	325	76	188
ASV_8634	1	6	0	0	0	0	1	0
ASV_8635	0	2	0	0	4	0	0	0
ASV_8639	11	17	3	6	0	15	3	8
ASV_8641	0	0	0	0	0	0	0	0
ASV_8644	0	0	0	0	0	0	0	0
ASV_8645	0	0	0	0	0	0	0	0
ASV_8647	117	43	11	19	21	47	112	20
ASV_8648	0	0	0	0	0	0	0	0
ASV_8649	1	0	0	0	10	0	0	0
ASV_8652	3	1	6	0	0	0	0	0
ASV_8653	0	0	0	0	8	0	0	0
ASV_8654	0	0	0	0	0	0	0	0
ASV_8657	5	0	1	3	0	28	6	1
ASV_8659	0	0	0	0	0	0	0	0
ASV_8660	2	0	0	0	0	0	0	0
ASV_8664	0	1	1	4	0	0	2	0
ASV_8665	0	0	0	0	0	0	0	0
ASV_8666	0	0	0	0	0	0	0	0
ASV_8667	0	0	0	0	0	0	0	0
ASV_8668	0	0	0	0	0	0	0	0
ASV_8669	0	0	0	0	0	0	0	0
ASV_8670	16	4	0	1	174	0	13	0
ASV_8673	33	19	15	3	0	7	101	1
ASV_8674	0	0	0	0	0	0	0	0
ASV_8678	6	0	0	0	0	0	0	1
ASV_8679	0	0	0	0	17	0	0	0
ASV_8680	0	0	0	0	0	0	0	0
ASV_8681	0	0	0	0	0	0	0	0
ASV_8682	0	0	0	0	0	0	0	0
ASV_8684	0	0	0	0	0	0	0	0
ASV_8686	0	0	0	0	1	0	0	0
ASV_8688	0	0	0	0	90	0	0	0
ASV_8690	0	0	0	0	0	0	0	0
ASV_8691	7	24	2	19	0	13	7	12
ASV_8692	0	0	0	1	0	0	0	0
ASV_8693	12	2	0	4	25	2	6	0
ASV_8695	14	0	0	0	0	0	0	0
ASV_8696	56	32	63	80	0	60	24	14
ASV_8697	0	0	0	1	0	0	0	0
ASV_8698	0	0	0	0	0	0	0	0
ASV_8699	6	0	5	1	0	11	0	22
ASV_8700	0	0	1	0	0	0	0	0
ASV_8701	12	15	0	1	8	7	14	3
ASV_8703	0	0	0	0	0	0	0	0
ASV_8705	0	0	0	0	0	0	0	0
ASV_8706	0	0	0	0	0	0	0	0
ASV_8708	21	18	41	54	4	36	1	14
ASV_8709	0	0	0	0	0	156	0	0
ASV_8710	9	6	0	3	24	5	3	5
ASV_8712	7	4	1	0	0	0	1	0
ASV_8715	17	6	2	3	5	6	10	6
ASV_8716	0	0	0	0	0	0	0	0
ASV_8717	0	0	0	0	0	0	0	0
ASV_8718	0	0	0	0	0	0	0	0
ASV_8719	146	59	202	143	34	62	64	126
ASV_8721	0	2	0	1	0	0	0	0
ASV_8722	0	0	0	0	15	0	0	0
ASV_8723	0	0	0	0	7	0	0	0
ASV_8726	0	0	0	0	0	1	0	0
ASV_8728	4	1	0	1	273	0	0	0
ASV_8732	0	0	0	0	0	0	0	0
ASV_8733	7	16	19	15	0	4	3	6
ASV_8736	0	0	0	0	0	0	0	0
ASV_8739	0	0	0	0	0	0	0	0
ASV_8741	9	1	1	2	49	4	7	0
ASV_8742	0	0	4	0	0	1	0	0
ASV_8745	10	7	64	40	4	49	5	8
ASV_8746	0	0	0	0	0	0	0	0
ASV_8747	0	0	0	0	0	0	0	0
ASV_8748	0	0	0	0	0	0	0	0
ASV_8750	0	0	0	0	4	0	1	0
ASV_8753	0	0	0	0	0	0	0	0
ASV_8754	0	0	0	0	0	0	0	0
ASV_8755	4	1	2	3	4	1	5	19
ASV_8756	0	0	0	0	0	0	0	0
ASV_8757	6	8	0	0	0	1	3	14
ASV_8763	14	3	0	0	10	0	1	0
ASV_8764	8	7	2	4	4	7	2	6
ASV_8766	0	0	0	0	0	0	0	0
ASV_8769	1	0	0	0	268	0	0	0
ASV_8770	0	0	0	0	0	0	0	0
ASV_8771	0	0	0	0	10	0	0	0
ASV_8772	32	40	30	55	0	152	34	194
ASV_8773	14	58	2	8	15	14	90	3
ASV_8777	0	3	37	5	0	138	0	24
ASV_8778	0	0	0	0	0	0	0	0
ASV_8781	0	0	0	0	0	0	0	0
ASV_8782	29	25	0	2	0	5	23	0
ASV_8783	170	266	84	259	0	282	63	92
ASV_8784	0	0	0	0	0	0	0	0
ASV_8785	0	0	0	0	0	0	1	0
ASV_8787	3	2	2	1	6	4	2	6
ASV_8788	10	0	2	0	2	2	0	0
ASV_8789	1	0	0	0	0	0	0	0
ASV_8793	94	16	21	5	75	10	16	0
ASV_8794	0	0	0	0	0	0	0	0
ASV_8795	1332	1740	9	15	74	90	2086	160
ASV_8798	8	4	3	3	1	4	0	1
ASV_8800	0	0	0	0	0	0	0	0
ASV_8802	4	4	0	2	24	0	0	0
ASV_8805	144	52	149	93	63	96	91	43
ASV_8807	0	2	0	0	1	0	0	0
ASV_8809	1	2	0	0	1	0	0	0
ASV_8810	3	0	0	0	59	0	0	0
ASV_8811	0	0	0	0	0	0	0	0
ASV_8812	0	0	0	0	0	0	0	0
ASV_8813	0	0	0	0	0	0	4	0
ASV_8815	0	0	0	0	0	0	0	0
ASV_8817	0	0	0	0	0	0	0	0
ASV_8818	0	0	0	0	0	0	0	0
ASV_8819	1	5	9	7	0	0	0	2
ASV_8820	0	0	0	0	0	0	0	0
ASV_8823	0	1	0	0	118	1	0	0
ASV_8825	39	36	60	84	0	137	6	31
ASV_8826	10	2	33	17	0	6	2	0
ASV_8829	3	0	4	0	0	5	0	0
ASV_8831	0	0	0	0	0	0	0	0
ASV_8832	104	207	12	18	3	1	16	0
ASV_8833	0	0	0	0	2	0	0	0
ASV_8834	0	0	0	0	0	0	0	0
ASV_8835	0	0	0	0	0	0	0	0
ASV_8837	0	0	0	0	0	0	0	0
ASV_8838	0	0	0	0	0	0	0	0
ASV_8839	1	0	3	3	0	3	0	0
ASV_8842	0	0	0	0	48	0	0	0
ASV_8843	735	189	735	665	278	535	312	275
ASV_8845	0	1	4	2	0	2	0	2
ASV_8848	11	10	2	0	0	6	14	0
ASV_8850	0	0	1	0	5	0	0	3
ASV_8851	0	0	0	0	0	0	0	0
ASV_8852	0	0	0	0	1	0	0	1
ASV_8854	0	0	0	0	0	0	0	0
ASV_8855	0	0	0	0	0	0	0	0
ASV_8856	2	4	2	1	0	2	12	6
ASV_8858	0	0	21	7	0	51	1	6
ASV_8861	11	2	13	1	7	12	19	17
ASV_8863	0	0	0	0	0	0	0	0
ASV_8865	1	0	5	0	17	8	0	0
ASV_8866	0	0	0	0	0	0	0	0
ASV_8867	93	30	131	80	36	75	33	42
ASV_8868	0	0	0	0	0	0	0	0
ASV_8871	1	1	0	0	0	0	1	0
ASV_8872	0	0	0	0	0	0	0	0
ASV_8873	1	0	3	1	0	7	0	13
ASV_8874	2	0	1	0	0	0	0	0
ASV_8875	3	4	50	22	0	19	0	1
ASV_8878	0	0	0	0	0	0	0	0
ASV_8879	9	0	0	0	2	0	4	0
ASV_8880	5	0	0	8	0	0	2	0
ASV_8884	1	0	0	0	0	0	3	0
ASV_8885	3	1	2	4	4	2	1	0
ASV_8886	0	0	0	0	0	0	0	0
ASV_8889	10	0	34	0	0	0	0	0
ASV_8890	0	0	0	0	0	0	0	0
ASV_8893	0	0	0	0	0	0	0	0
ASV_8895	0	2	0	0	0	0	0	0
ASV_8897	10	2	0	5	0	516	3	20
ASV_8901	0	0	0	0	1	0	0	0
ASV_8902	0	2	1	5	0	1	0	0
ASV_8903	0	0	0	2	0	0	0	0
ASV_8904	0	0	0	0	0	0	0	0
ASV_8907	0	0	0	0	0	0	0	0
ASV_8910	20	1	16	17	5	10	0	33
ASV_8912	7	4	4	0	63	0	6	15
ASV_8914	0	0	0	1	1	0	0	0
ASV_8920	0	0	0	0	0	0	0	0
ASV_8922	0	0	0	2	0	0	0	0
ASV_8925	0	0	0	0	0	0	0	0
ASV_8926	0	0	0	0	0	0	0	0
ASV_8928	3	0	0	0	0	0	0	0
ASV_8935	0	0	0	0	0	0	0	0
ASV_8936	0	0	0	0	0	0	0	0
ASV_8937	0	2	71	140	1	5	0	0
ASV_8938	2	0	0	0	1	0	0	0
ASV_8940	2	0	0	3	0	3	3	2
ASV_8941	0	3	2	4	0	0	0	7
ASV_8944	4	2	3	5	0	0	0	0
ASV_8947	0	0	0	0	0	0	0	0
ASV_8948	2	0	1	0	8	2	0	0
ASV_8950	0	0	0	0	0	0	0	0
ASV_8953	0	0	0	0	10	0	0	0
ASV_8954	0	0	0	0	0	0	0	0
ASV_8955	0	2	1	0	72	0	0	0
ASV_8957	0	0	0	0	0	0	0	0
ASV_8960	0	0	0	0	0	0	0	0
ASV_8961	49	96	9	18	1	5	9	0
ASV_8962	0	2	1	2	0	1	0	0
ASV_8963	0	0	0	0	0	0	0	0
ASV_8966	0	0	0	0	0	0	0	0
ASV_8967	20	1	0	0	3	0	1	0
ASV_8968	0	0	0	0	1	0	0	0
