"","20171019_EB_NN","20180710_EB_NN","20181211_EB_OO","20181212_EB_OO","20181218_EB_OO","20190619_EB_QQ","CN18FESPkoa_BN1post_OO","CN18FESPkoa_BN1pre_OO","CN18FESPkoa_BN2post_OO","CN18FESPkoa_BN2pre_OO","CN18FESPkoa_BN3post_OO","CN18FESPkoa_BN3pre_OO","CN18FESPkoa_BP1_OO","CN18FESPkoa_BP2_OO","CN18FESPkoa_BP3_OO","CN18FESPkoa_SC1_OO","CN18FESPkoa_SC24_OO","CN18FESPkoa_SC26_OO","CN18FESPkoa_SC29_OO","CN18FESPkoa_SC30_OO","CN18FESPkoa_SC31_OO","CN18FESPkoa_SC32_OO","CN18FESPkoa_SC34_OO","CN18FESPkoa_SC35_OO","CN18FESPkoa_SC37_OO","CN18FESPkoa_SC40_OO","CN18FESPkoa_SC41_OO","CN18FESPkoa_SC43_OO","CN18FESPkoa_SC44_OO","CN18FESPkoa_SC46_OO","CN18FESPkoa_SC47_OO","CN18FESPkoa_SC49_OO","CN18FESPkoa_SC52_OO","CN18FESPkoa_SC53_OO","CN18FESPkoa_SC55_OO","CN18FESPkoa_SC56_OO","CN18FESPkoa_SC57_OO","CN18FESPkoa_SC58_OO","CN18FESPkoa_SC59_OO","CN18Fc12_8_eDNA_OO","CN18Fc21_6_eDNA_OO","CN18Fc22_6_eDNA_OO","CN18Fc24_6_eDNA_OO","CN18Fc25_5_eDNA_OO","CN18Fc27_4_eDNA_OO","CN18Fc29_6_eDNA_OO","CN18Fc30_4_eDNA_OO","CN18Fc32_4_eDNA_OO","CN18Fc33_5_eDNA_OO","CN18Fc35_5_eDNA_OO","CN18Fc36_6_eDNA_OO","CN18Fc38_5_eDNA_OO","CN18Fc40_6_eDNA_OO","CN18Fc41_6_eDNA_OO","CN18Fc43_5_eDNA_OO","CN18Fc44_8_eDNA_OO","CN18Fc46_8_eDNA_OO","CN18SKOA_ESP36_NN","CN18SKOA_ESP37_NN","CN18SKOA_ESP39_NN","CN18SKOA_ESP40_NN","CN18SKOA_ESP41_NN","CN18SKOA_ESP42_NN","CN18SKOA_ESP44_NN","CN18SKOA_ESP45_NN","CN18SKOA_ESP47_NN","CN18SKOA_ESP49_NN","CN18S_koa3G_BN1post_NN","CN18S_koa3G_BN1pre_NN","CN18S_koa3G_BN2post_NN","CN18S_koa3G_BN2pre_NN","CN18S_koa3G_BN3post_NN","CN18S_koa3G_BN3pre_NN","CN18S_koa3G_BP1_NN","CN18S_koa3G_BP2_NN","CN18S_koa3G_BP3_NN","CN18S_koa3G_SC29_NN","CN18S_koa3G_SC30_NN","CN18S_koa3G_SC31_NN","CN18S_koa3G_SC57_NN","CN18S_koa3G_SC58_NN","CN18S_koa3G_SC59_NN","CN18Sc09_2_eDNA_NN","CN18Sc10_2_eDNA_NN","CN18Sc14_2_eDNA_NN","CN18Sc14_8_eDNA_NN","CN18Sc15_2_eDNA_NN","CN18Sc15_8_eDNA_NN","CN18Sc18_2_eDNA_NN","CN18Sc18_8_eDNA_NN","CN18Sc27_2_eDNA_NN","CN18Sc27_8_eDNA_NN","pcrblank_1_NN","pcrblank_1_OO","pcrblank_1_QQ","pcrblank_2_NN","pcrblank_2_OO","pcrblank_2_QQ","pcrblank_3_NN","pcrblank_3_OO","pcrblank_3_QQ"
"ASV_1704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1705",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1706",0,0,0,0,0,0,0,0,0,2,0,0,12,13,7,3,8,2,7,6,14,6,9,14,4,6,4,3,10,5,4,6,10,7,1,4,4,1,0,8,2,6,6,2,8,2,4,4,1,9,5,4,10,4,5,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1707",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1708",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,6,0,440,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1709",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1712",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1715",0,0,6,0,0,0,310,0,9,0,7,0,1,13,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1718",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1719",0,0,4,0,0,0,36,0,8,0,10,0,3,2,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1720",0,0,0,0,0,0,8,0,0,0,0,0,28,10,10,0,7,1,0,3,0,0,0,0,0,2,0,0,1,0,16,0,1,1,0,0,0,0,0,5,1,0,0,77,2,3,0,0,0,0,0,4,6,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ASV_1721",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,284,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,13,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,6,4,2,3,9,2,5,2,4,12,2,4,0,0,2,4,8,2,8,0,4,0,0,2,0,1,1,0,2,0,2,4,2,12,2,4,3,2,0,3,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_1728",0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,0,3,7,2,1,0,4,5,4,1,4,5,2,2,1,5,8,7,7,7,3,2,0,3,2,1,1,0,4,1,0,0,2,3,7,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1729",0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,181,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1732",0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,1,0,4,1,0,1,1,3,10,6,0,3,0,9,3,5,5,6,5,3,1,2,2,0,0,1,2,5,1,0,3,2,0,0,0,3,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1733",0,0,0,0,0,0,0,0,0,0,0,0,181,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1735",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1737",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,4,4,0,6,6,5,2,5,4,1,1,7,0,5,0,3,6,0,3,1,1,0,0,1,1,2,1,1,3,0,0,1,4,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1739",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1740",0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1741",0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,5,0,2,3,0,1,1,2,1,3,8,5,5,0,0,5,2,4,1,2,1,0,0,5,0,3,0,0,4,1,1,0,5,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1742",0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,3,2,1,0,3,3,3,3,6,2,5,2,0,3,12,7,0,1,5,2,0,0,4,0,3,2,0,5,0,0,4,2,0,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1744",0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,1,4,3,1,1,0,4,2,3,4,0,2,7,2,0,8,6,2,4,0,1,0,1,0,0,1,0,5,1,1,0,3,0,1,2,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1745",0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,1,0,0,0,0,1,3,0,4,0,3,2,2,6,0,2,0,9,2,6,3,0,2,0,1,2,1,1,0,0,0,0,1,1,1,2,2,2,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1746",0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,0,2,1,0,3,2,9,6,1,1,0,1,7,0,1,0,7,2,2,5,2,0,0,0,0,0,2,1,5,0,0,0,0,4,0,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1747",0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,3,0,1,3,1,0,2,0,2,3,0,0,4,7,2,2,0,8,7,3,2,1,0,0,2,1,0,0,0,1,2,2,1,2,4,7,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1748",0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1750",0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,1,0,2,0,1,0,2,1,0,0,5,0,2,6,1,2,0,3,5,0,2,0,2,0,0,0,1,6,1,3,3,0,1,0,1,1,0,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1751",0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,2,2,0,1,1,0,2,0,3,1,3,3,1,4,2,0,1,6,6,3,5,1,0,0,0,0,6,3,0,1,0,2,0,2,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1752",0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,1,1,5,0,1,0,2,3,3,2,1,2,3,2,1,1,4,3,2,1,2,5,0,0,2,4,2,0,2,3,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1753",0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,4,0,0,1,3,2,2,1,3,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,7,1,1,1,0,1,1,3,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1754",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1757",0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1758",0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,1,2,4,2,0,0,0,1,2,1,0,0,1,0,1,1,2,9,1,4,0,0,0,0,0,0,0,2,4,0,0,0,0,3,4,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1760",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,6,0,0,1,1,0,2,3,1,0,1,1,0,2,7,2,1,0,1,1,0,1,2,1,2,1,0,2,1,0,2,0,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1761",0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,3,1,0,1,0,0,1,5,3,0,0,0,1,4,0,6,2,3,5,2,0,0,0,0,0,0,2,2,0,0,5,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1762",0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,0,0,0,2,2,1,0,3,2,3,1,1,3,2,5,2,0,4,0,0,0,1,0,0,0,2,1,1,1,0,1,0,1,2,2,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1763",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,1,4,0,0,4,4,4,5,0,2,0,3,3,1,2,2,0,0,0,0,0,1,0,3,2,2,0,0,2,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1764",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1768",0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,1,1,0,2,3,1,1,2,1,1,0,0,0,3,1,8,0,3,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1769",0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1,0,1,0,0,0,1,2,4,2,0,1,1,1,1,0,1,2,2,0,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
