,SAMPLING_cruise,depth,library,libraryID,locus,original_name,samp_collection_device,sample_type.x,sample_type.y,CTD_or_ESP,ESP_CTD,ESP_CTD_ID,matching_ID
CN18Fc25_5_eDNA_OO,CN18F,30,OO68,OO,,CN18Fc25_5_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD17,CN18F17
CN18Fc27_4_eDNA_OO,CN18F,45,OO69,OO,,CN18Fc27_4_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD16,CN18F16
CN18Fc29_6_eDNA_OO,CN18F,30,OO70,OO,,CN18Fc29_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD15,CN18F15
CN18Fc30_4_eDNA_OO,CN18F,40,OO71,OO,,CN18Fc30_4_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD14,CN18F14
CN18Fc32_4_eDNA_OO,CN18F,40,OO72,OO,,CN18Fc32_4_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD13,CN18F13
CN18Fc33_5_eDNA_OO,CN18F,35,OO73,OO,,CN18Fc33_5_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD12,CN18F12
CN18Fc35_5_eDNA_OO,CN18F,30,OO74,OO,,CN18Fc35_5_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD11,CN18F11
CN18Fc36_6_eDNA_OO,CN18F,20,OO75,OO,,CN18Fc36_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD10,CN18F10
CN18Fc38_5_eDNA_OO,CN18F,30,OO76,OO,,CN18Fc38_5_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD9,CN18F9
CN18Fc40_6_eDNA_OO,CN18F,25,OO77,OO,,CN18Fc40_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD8,CN18F8
CN18Fc41_6_eDNA_OO,CN18F,25,OO78,OO,,CN18Fc41_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD7,CN18F7
CN18Fc43_5_eDNA_OO,CN18F,30,OO79,OO,,CN18Fc43_5_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD6,CN18F6
CN18Fc44_8_eDNA_OO,CN18F,20,OO80,OO,,CN18Fc44_8_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD5,CN18F5
CN18Fc46_8_eDNA_OO,CN18F,10,OO81,OO,,CN18Fc46_8_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD4,CN18F4
CN18SKOA_ESP36_NN,CN18S,29.96195043,NN75,NN,,CN18SKOA_ESP36,,environmental,environmental,ESP,,ESP1,CN18S1
CN18SKOA_ESP37_NN,CN18S,200.0087146,NN74,NN,,CN18SKOA_ESP37,,environmental,environmental,ESP,,ESP2,CN18S2
CN18SKOA_ESP39_NN,CN18S,29.99480987,NN73,NN,,CN18SKOA_ESP39,,environmental,environmental,ESP,,ESP3,CN18S3
CN18SKOA_ESP40_NN,CN18S,200.0025287,NN72,NN,,CN18SKOA_ESP40,,environmental,environmental,ESP,,ESP4,CN18S4
CN18SKOA_ESP41_NN,CN18S,29.97452523,NN71,NN,,CN18SKOA_ESP41,,environmental,environmental,ESP,,ESP5,CN18S5
CN18SKOA_ESP42_NN,CN18S,200.0034874,NN69,NN,,CN18SKOA_ESP42,,environmental,environmental,ESP,,ESP6,CN18S6
CN18SKOA_ESP44_NN,CN18S,30.00030977,NN70,NN,,CN18SKOA_ESP44,,environmental,environmental,ESP,,ESP7,CN18S7
CN18SKOA_ESP45_NN,CN18S,199.9964608,NN68,NN,,CN18SKOA_ESP45,,environmental,environmental,ESP,,ESP8,CN18S8
CN18SKOA_ESP47_NN,CN18S,200.0084395,NN67,NN,,CN18SKOA_ESP47,,environmental,environmental,ESP,,ESP9,CN18S9
CN18SKOA_ESP49_NN,CN18S,200.0050058,NN66,NN,,CN18SKOA_ESP49,,environmental,environmental,ESP,,ESP10,CN18S10
CN18S_koa3G_BN1post_NN,CN18S,NA,NN83,NN,,CN18S_koa3G_BN1post,,negative,blank_esp_post,,,,
CN18S_koa3G_BN1pre_NN,CN18S,NA,NN86,NN,,CN18S_koa3G_BN1pre,,negative,blank_esp_pre,,,,
CN18S_koa3G_BN2post_NN,CN18S,NA,NN84,NN,,CN18S_koa3G_BN2post,,negative,blank_esp_post,,,,
CN18S_koa3G_BN2pre_NN,CN18S,NA,NN87,NN,,CN18S_koa3G_BN2pre,,negative,blank_esp_pre,,,,
CN18S_koa3G_BN3post_NN,CN18S,NA,NN85,NN,,CN18S_koa3G_BN3post,,negative,blank_esp_post,,,,
CN18S_koa3G_BN3pre_NN,CN18S,NA,NN88,NN,,CN18S_koa3G_BN3pre,,negative,blank_esp_pre,,,,
CN18S_koa3G_BP1_NN,CN18S,NA,NN89,NN,,CN18S_koa3G_BP1,,positive,positive,,,,
CN18S_koa3G_BP2_NN,CN18S,NA,NN90,NN,,CN18S_koa3G_BP2,,positive,positive,,,,
CN18S_koa3G_BP3_NN,CN18S,NA,NN91,NN,,CN18S_koa3G_BP3,,positive,positive,,,,
CN18S_koa3G_SC29_NN,CN18S,NA,NN82,NN,,CN18S_koa3G_SC29,,negative,environmental,,,,
CN18S_koa3G_SC30_NN,CN18S,NA,NN81,NN,,CN18S_koa3G_SC30,,negative,environmental,,,,
CN18S_koa3G_SC31_NN,CN18S,NA,NN80,NN,,CN18S_koa3G_SC31,,negative,environmental,,,,
CN18S_koa3G_SC57_NN,CN18S,NA,NN79,NN,,CN18S_koa3G_SC57,,negative,environmental,,,,
CN18S_koa3G_SC58_NN,CN18S,NA,NN78,NN,,CN18S_koa3G_SC58,,negative,environmental,,,,
CN18S_koa3G_SC59_NN,CN18S,NA,NN77,NN,,CN18S_koa3G_SC59,,negative,environmental,,,,
CN18Sc09_2_eDNA_NN,CN18S,200,NN55,NN,,CN18Sc09_2_eDNA,,environmental,environmental,CTD,,CTD10,CN18S10
CN18Sc10_2_eDNA_NN,CN18S,200,NN56,NN,,CN18Sc10_2_eDNA,,environmental,environmental,CTD,,CTD9,CN18S9
CN18Sc14_2_eDNA_NN,CN18S,195,NN57,NN,,CN18Sc14_2_eDNA,,environmental,environmental,CTD,,CTD8,CN18S8
CN18Sc14_8_eDNA_NN,CN18S,30,NN58,NN,,CN18Sc14_8_eDNA,,environmental,environmental,CTD,,CTD7,CN18S7
CN18Sc15_2_eDNA_NN,CN18S,195,NN59,NN,,CN18Sc15_2_eDNA,,environmental,environmental,CTD,,CTD6,CN18S6
CN18Sc15_8_eDNA_NN,CN18S,30,NN60,NN,,CN18Sc15_8_eDNA,,environmental,environmental,CTD,,CTD5,CN18S5
CN18Sc18_2_eDNA_NN,CN18S,200,NN61,NN,,CN18Sc18_2_eDNA,,environmental,environmental,CTD,,CTD4,CN18S4
CN18Sc18_8_eDNA_NN,CN18S,30,NN62,NN,,CN18Sc18_8_eDNA,,environmental,environmental,CTD,,CTD3,CN18S3
CN18Sc27_2_eDNA_NN,CN18S,200,NN63,NN,,CN18Sc27_2_eDNA,,environmental,environmental,CTD,,CTD2,CN18S2
