#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
e5d401172b7e236e8ab6accd6e3e4693	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	 uncultured_bacterium
a37c86fd3c985df9a1cf9d5e7c05ed0c	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	 uncultured_marine
c7fd919af8eabcac864e57912b42c11a	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Microtrichales	 Microtrichaceae	 Sva0996_marine_group	 
28a9c22573177ce5111853843c78cd23	Bacteria	 Bdellovibrionota	 Oligoflexia	 Silvanigrellales	 Silvanigrellaceae	 Silvanigrella	 
26ec04e2a6ebd2cec8a15ef207973123	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 
388ee891f44d968bcc00687a6dd4a1cf	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodospirillales	 Magnetospiraceae	 Magnetospira	 uncultured_bacterium
bf056294b785a339c63f8527702578ff	Bacteria	 Bdellovibrionota	 Oligoflexia	 Oligoflexales	 uncultured	 uncultured	 
b23fa363a791f13cbf82e26bd9e23594	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 NS5_marine_group	 uncultured_marine
19f0d1ebfa3b37ed0edb1372e95e34c3	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 NS5_marine_group	 
c6f1a931a1350d395a4baf11e08371ec	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	 
440e25a1aeb94cefb419e3fa83eb3747	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 uncultured_bacterium
cd002152232eadb3df23a501a728cd23	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Puniceispirillales	 SAR116_clade	 SAR116_clade	 uncultured_bacterium
13bfbe035d4afd772a36eb36a3175948	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Synechococcales	 Cyanobiaceae	 Synechococcus_CC9902	 uncultured_bacterium
65d43491988bfe557da4d86a5ba25dae	Bacteria	 Firmicutes	 Bacilli	 Staphylococcales	 Staphylococcaceae	 Staphylococcus	 
0583a6be54548df901f73bc2ec62dfae	Bacteria	 Desulfobacterota	 Desulfuromonadia	 Bradymonadales	 Bradymonadales	 Bradymonadales	 
0e37b4b90dfaa324abe901a674fdc19f	Unassigned	 	 	 	 	 	 
26163cb0a0505475ebe875501a145f34	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 	 
34cbda38eaf7af56ab329008e86d129d	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 
c08fe22577d0025ef85c3783ef16228a	Bacteria	 Actinobacteriota	 Acidimicrobiia	 Microtrichales	 Microtrichaceae	 Sva0996_marine_group	 
1044692a6b40f8b250c508932bc3b41a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_II	 Clade_II	 
c430ea492a2f9b35fb79c084901fdcf6	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_II	 Clade_II	 uncultured_bacterium
f03cd1391b73d37a8a7cc3ba2c532696	Bacteria	 Proteobacteria	 Gammaproteobacteria	 	 	 	 
5958244c7d76e52edfaf47add9230731	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
6dfc324600ba4c93a59d25ba29cb5000	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	 
3a1e18320375d28b8c1304020ee7ce34	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_bacterium
5ee181e7af48fbffd85476b1eefd0472	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Oceanospirillales	 Halomonadaceae	 Halomonas	 uncultured_bacterium
408c0e9afd8e8da2d0649092f76ac6ca	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Cellvibrionales	 Halieaceae	 OM60(NOR5)_clade	 
1fb08b18138d8c6a97104ee81c5248d3	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Alteromonadaceae	 uncultured	 
61a9b1daf4e3fc94764d813c9c6c3dbd	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 uncultured_bacterium
088f0fe22ad2aefbbb7965a5c2657f5d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Ruegeria	 Ruegeria_sp.
ac937dd0986b50b6c0fc3d01f3fde005	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Pseudahrensia	 
054ca7bc36af26d3bae1b4d54334ce09	Bacteria	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 uncultured_bacterium
0706b23830470fecc0fd15bc07c4d5ba	Bacteria	 PAUC34f	 PAUC34f	 PAUC34f	 PAUC34f	 PAUC34f	 
11356bd547f14cfc83d5ebde981a0498	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Crocinitomicaceae	 Crocinitomix	 
26d8f7e0a4767264d1a8ca5b8bba5689	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bacteriovoracales	 Bacteriovoracaceae	 Peredibacter	 
ad9b86a0a374849e2c0cba34863c3635	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 	 	 
2d780235cf6ea8567b85cb334f2a78a1	Bacteria	 Chloroflexi	 Dehalococcoidia	 SAR202_clade	 SAR202_clade	 SAR202_clade	 
