"","SAMPLING_cruise","depth","library","libraryID","locus","original_name","samp_collection_device","sample_type.x","sample_type.y","CTD_or_ESP","ESP_CTD","ESP_CTD_ID","matching_ID"
"CN18FESPkoa_SC57_CC","CN18F","35.21756651","CC4","CC","18S","CN18FESPkoa_SC57","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP21","CN18F21"
"CN18FESPkoa_SC58_CC","CN18F","30.91903055","CC3","CC","18S","CN18FESPkoa_SC58","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP22","CN18F22"
"CN18FESPkoa_SC59_CC","CN18F","","CC2","CC","18S","CN18FESPkoa_SC59","3G_ESP","negative","environmental","","","",""
"CN18Fc12_8_eDNA_HH","CN18F","30.0","HH9","HH","18S","CN18Fc12_8_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD22","CN18F22"
"CN18Fc19_5_eDNA_HH","CN18F","40.0","HH21","HH","18S","CN18Fc19_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD21","CN18F21"
"CN18Fc21_6_eDNA_HH","CN18F","25.0","HH33","HH","18S","CN18Fc21_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD20","CN18F20"
"CN18Fc22_6_eDNA_HH","CN18F","35.0","HH45","HH","18S","CN18Fc22_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD19","CN18F19"
"CN18Fc24_6_eDNA_HH","CN18F","25.0","HH57","HH","18S","CN18Fc24_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD18","CN18F18"
"CN18Fc25_5_eDNA_HH","CN18F","30.0","HH69","HH","18S","CN18Fc25_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD17","CN18F17"
"CN18Fc27_4_eDNA_HH","CN18F","45.0","HH81","HH","18S","CN18Fc27_4_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD16","CN18F16"
"CN18Fc29_6_eDNA_HH","CN18F","30.0","HH93","HH","18S","CN18Fc29_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD15","CN18F15"
"CN18Fc30_4_eDNA_HH","CN18F","40.0","HH10","HH","18S","CN18Fc30_4_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD14","CN18F14"
"CN18Fc32_4_eDNA_HH","CN18F","40.0","HH22","HH","18S","CN18Fc32_4_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD13","CN18F13"
"CN18Fc33_5_eDNA_HH","CN18F","35.0","HH34","HH","18S","CN18Fc33_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD12","CN18F12"
"CN18Fc35_5_eDNA_HH","CN18F","30.0","HH46","HH","18S","CN18Fc35_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD11","CN18F11"
"CN18Fc36_6_eDNA_HH","CN18F","20.0","HH58","HH","18S","CN18Fc36_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD10","CN18F10"
"CN18Fc38_5_eDNA_HH","CN18F","30.0","HH70","HH","18S","CN18Fc38_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD9","CN18F9"
"CN18Fc40_6_eDNA_HH","CN18F","25.0","HH82","HH","18S","CN18Fc40_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD8","CN18F8"
"CN18Fc41_6_eDNA_HH","CN18F","25.0","HH94","HH","18S","CN18Fc41_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD7","CN18F7"
"CN18Fc43_5_eDNA_HH","CN18F","30.0","HH11","HH","18S","CN18Fc43_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD6","CN18F6"
"CN18Fc44_8_eDNA_HH","CN18F","20.0","HH23","HH","18S","CN18Fc44_8_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD5","CN18F5"
"CN18Fc46_8_eDNA_HH","CN18F","10.0","HH35","HH","18S","CN18Fc46_8_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD4","CN18F4"
"CN18Fc47_6_eDNA_HH","CN18F","25.0","HH47","HH","18S","CN18Fc47_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD3","CN18F3"
"CN18Fc49_6_eDNA_HH","CN18F","25.0","HH59","HH","18S","CN18Fc49_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD2","CN18F2"
"CN18Fc51_5_eDNA_HH","CN18F","35.0","HH71","HH","18S","CN18Fc51_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD1","CN18F1"
"CN18SESPkoa_SC36_AA","CN18S","29.96195043","AA80","AA","18S","CN18SESPkoa_SC36","3G_ESP","environmental","environmental","ESP","","ESP1","CN18S1"
"CN18SESPkoa_SC37_AA","CN18S","200.0087146","AA79","AA","18S","CN18SESPkoa_SC37","3G_ESP","environmental","environmental","ESP","","ESP2","CN18S2"
"CN18SESPkoa_SC39_AA","CN18S","29.99480987","AA78","AA","18S","CN18SESPkoa_SC39","3G_ESP","environmental","environmental","ESP","","ESP3","CN18S3"
"CN18SESPkoa_SC40_AA","CN18S","200.00252869999997","AA77","AA","18S","CN18SESPkoa_SC40","3G_ESP","environmental","environmental","ESP","","ESP4","CN18S4"
"CN18SESPkoa_SC41_AA","CN18S","29.97452523","AA76","AA","18S","CN18SESPkoa_SC41","3G_ESP","environmental","environmental","ESP","","ESP5","CN18S5"
"CN18SESPkoa_SC42_AA","CN18S","200.0034874","AA75","AA","18S","CN18SESPkoa_SC42","3G_ESP","environmental","environmental","ESP","","ESP6","CN18S6"
"CN18SESPkoa_SC44_AA","CN18S","30.00030977","AA74","AA","18S","CN18SESPkoa_SC44","3G_ESP","environmental","environmental","ESP","","ESP7","CN18S7"
"CN18SESPkoa_SC45_AA","CN18S","199.9964608","AA73","AA","18S","CN18SESPkoa_SC45","3G_ESP","environmental","environmental","ESP","","ESP8","CN18S8"
"CN18SESPkoa_SC47_AA","CN18S","200.0084395","AA72","AA","18S","CN18SESPkoa_SC47","3G_ESP","environmental","environmental","ESP","","ESP9","CN18S9"
"CN18SESPkoa_SC49_AA","CN18S","200.00500580000002","AA71","AA","18S","CN18SESPkoa_SC49","3G_ESP","environmental","environmental","ESP","","ESP10","CN18S10"
"CN18S_koa3G_BN1post_CC","CN18S","","CC85","CC","18S","CN18S_koa3G_BN1post","3G_ESP","negative","blank_esp_post","","","",""
"CN18S_koa3G_BN1pre_CC","CN18S","","CC88","CC","18S","CN18S_koa3G_BN1pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18S_koa3G_BN2post_CC","CN18S","","CC86","CC","18S","CN18S_koa3G_BN2post","3G_ESP","negative","blank_esp_post","","","",""
"CN18S_koa3G_BN2pre_CC","CN18S","","CC89","CC","18S","CN18S_koa3G_BN2pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18S_koa3G_BN3post_CC","CN18S","","CC87","CC","18S","CN18S_koa3G_BN3post","3G_ESP","negative","blank_esp_post","","","",""
"CN18S_koa3G_BN3pre_CC","CN18S","","CC90","CC","18S","CN18S_koa3G_BN3pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18S_koa3G_BP1_CC","CN18S","","CC91","CC","18S","CN18S_koa3G_BP1","3G_ESP","positive","positive","","","",""
"CN18S_koa3G_BP2_CC","CN18S","","CC92","CC","18S","CN18S_koa3G_BP2","3G_ESP","positive","positive","","","",""
"CN18S_koa3G_BP3_CC","CN18S","","CC93","CC","18S","CN18S_koa3G_BP3","3G_ESP","positive","positive","","","",""
"CN18S_koa3G_SC29_CC","CN18S","","CC84","CC","18S","CN18S_koa3G_SC29","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC30_CC","CN18S","","CC83","CC","18S","CN18S_koa3G_SC30","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC31_CC","CN18S","","CC82","CC","18S","CN18S_koa3G_SC31","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC57_CC","CN18S","","CC81","CC","18S","CN18S_koa3G_SC57","3G_ESP","negative","environmental","","","",""
"CN18S_koa3G_SC58_CC","CN18S","","CC80","CC","18S","CN18S_koa3G_SC58","3G ESP","negative","environmental","","","",""
"CN18S_koa3G_SC59_CC","CN18S","","CC79","CC","18S","CN18S_koa3G_SC59","3G ESP","negative","environmental","","","",""
"CN18Sc09_2_eDNA_AA","CN18S","200.0","AA1","AA","18S","CN18Sc09_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD10","CN18S10"
"CN18Sc10_2_eDNA_AA","CN18S","200.0","AA3","AA","18S","CN18Sc10_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD9","CN18S9"
"CN18Sc14_2_eDNA_AA","CN18S","195.0","AA15","AA","18S","CN18Sc14_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD8","CN18S8"
"CN18Sc14_8_eDNA_AA","CN18S","30.0","AA18","AA","18S","CN18Sc14_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD7","CN18S7"
"CN18Sc15_2_eDNA_AA","CN18S","195.0","AA21","AA","18S","CN18Sc15_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD6","CN18S6"
"CN18Sc15_8_eDNA_AA","CN18S","30.0","AA24","AA","18S","CN18Sc15_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD5","CN18S5"
"CN18Sc18_2_eDNA_AA","CN18S","200.0","AA34","AA","18S","CN18Sc18_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD4","CN18S4"
"CN18Sc18_8_eDNA_AA","CN18S","30.0","AA35","AA","18S","CN18Sc18_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD3","CN18S3"
"CN18Sc27_2_eDNA_AA","CN18S","200.0","AA38","AA","18S","CN18Sc27_2_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD2","CN18S2"
"CN18Sc27_8_eDNA_AA","CN18S","30.0","AA39","AA","18S","CN18Sc27_8_eDNA","CTD/SBE911_Rosette_with_Niskin_bottle","environmental","environmental","CTD","","CTD1","CN18S1"
"pcr_blank_1_CC","CN18F","","CC32","CC","18S","pcr_blank_1","","negative",NA,NA,NA,NA,NA
"pcr_blank_2_CC","CN18F","","CC64","CC","18S","pcr_blank_2","","negative",NA,NA,NA,NA,NA
"pcr_blank_3_CC","CN18F","","CC96","CC","18S","pcr_blank_3","","negative",NA,NA,NA,NA,NA
"pcrblank_1_AA","CN18S","","AA32","AA","18S","pcrblank_1","","negative",NA,NA,NA,NA,NA
"pcrblank_1_HH","","","HH88","HH","18S","pcrblank_1","","negative",NA,NA,NA,NA,NA
"pcrblank_2_AA","CN18S","","AA64","AA","18S","pcrblank_2","","negative",NA,NA,NA,NA,NA
"pcrblank_2_HH","","","HH92","HH","18S","pcrblank_2","","negative",NA,NA,NA,NA,NA
"pcrblank_3_AA","","","AA96","AA","18S","pcrblank_3","","negative",NA,NA,NA,NA,NA
"pcrblank_3_HH","","","HH96","HH","18S","pcrblank_3","","negative",NA,NA,NA,NA,NA
