"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_11656",2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ASV_11658",0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0
"ASV_11660",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_11661",0,0,15,4,0,0,1,2,0,0,0,0,0,1,2,8
"ASV_11662",0,0,16,0,0,0,2,2,0,0,3,0,0,0,4,3
"ASV_11665",0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0
"ASV_11667",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11668",34,0,30,36,9,25,11,20,1,0,2,0,3,1,14,70
"ASV_11669",49,0,47,47,13,26,10,18,0,0,21,0,5,9,7,53
"ASV_11671",6,0,0,5,2,2,0,1,0,0,0,14,0,0,0,1
"ASV_11672",1,0,7,4,0,1,2,3,0,0,0,0,0,3,1,7
"ASV_11674",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_11675",44,0,30,19,0,13,22,25,0,0,10,0,0,2,16,65
"ASV_11676",3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV_11678",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_11679",6,0,8,0,0,0,14,28,2,0,0,31,0,0,17,67
"ASV_11680",0,0,3,2,0,0,10,0,0,0,0,0,0,2,2,0
"ASV_11682",13,0,13,9,6,17,3,13,3,0,0,0,0,2,8,35
"ASV_11683",0,1,2,1,0,0,1,2,0,0,0,0,0,0,0,3
"ASV_11684",0,0,0,2,1,0,2,1,0,0,0,0,0,0,3,1
"ASV_11686",1,2,7,12,12,6,28,5,2,0,4,0,0,2,26,40
"ASV_11688",1,0,1,3,0,3,0,0,0,0,1,0,0,0,0,6
"ASV_11689",10,0,3,5,4,1,0,2,0,0,1,0,2,0,0,3
"ASV_11690",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11691",3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
"ASV_11693",43,0,14,28,13,12,5,7,1,0,7,0,4,0,4,24
"ASV_11694",8,0,8,7,0,9,4,1,1,0,0,0,2,2,0,12
"ASV_11697",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"ASV_11700",0,0,6,7,6,0,1,0,0,0,4,0,1,0,0,1
"ASV_11703",3,1,0,3,0,7,4,5,3,2,3,0,5,1,0,0
"ASV_11707",4,0,9,20,0,10,2,14,0,0,0,0,0,0,11,26
"ASV_11708",0,0,0,2,0,13,37,14,0,4,14,0,0,13,3,21
"ASV_11709",3,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3
"ASV_11713",36,0,0,33,0,0,0,1,0,0,2,0,0,0,0,0
"ASV_11716",5,0,5,0,3,0,4,9,0,0,0,0,0,0,1,7
"ASV_11717",17,0,8,9,2,15,1,27,0,0,1,0,2,0,0,21
"ASV_11718",8,0,9,4,0,3,5,11,0,0,1,0,0,0,6,1
"ASV_11720",0,0,0,0,32,4,53,0,0,0,0,0,2,5,9,0
"ASV_11721",155,0,143,2,0,0,39,42,0,0,8,0,1,8,36,229
"ASV_11722",9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11723",10,0,4,10,0,3,10,5,0,0,0,3,0,0,10,6
"ASV_11724",25,0,30,6,5,8,25,18,3,0,3,3,3,0,6,60
"ASV_11726",21,0,1,4,0,3,4,3,0,0,1,0,0,2,7,9
"ASV_11727",26,0,12,6,7,7,0,0,0,0,6,0,1,4,0,0
"ASV_11729",0,0,0,0,0,42,0,0,0,0,0,0,0,4,0,0
"ASV_11730",3,0,4,0,0,0,1,7,0,0,1,0,0,0,3,0
"ASV_11731",9,0,6,3,0,0,3,2,2,0,0,0,0,0,3,41
"ASV_11733",42,0,31,9,2,7,7,10,0,0,2,0,1,2,58,76
"ASV_11734",2,0,0,3,0,6,0,0,0,0,2,0,0,0,0,0
"ASV_11735",11,0,4,14,1,6,0,8,0,0,3,3,0,0,0,2
"ASV_11736",0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
"ASV_11737",0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11738",5,0,16,13,14,0,7,14,0,0,2,0,2,0,12,38
"ASV_11739",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11740",24,0,80,29,32,38,43,109,3,0,7,0,0,3,102,103
"ASV_11744",3,0,8,6,0,0,0,6,1,0,4,0,0,0,1,7
"ASV_11745",3,0,4,2,0,5,22,2,0,0,1,0,0,0,2,2
"ASV_11746",14,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0
"ASV_11747",133,0,14,29,0,5,5,6,0,0,5,0,0,4,6,0
"ASV_11748",7,6,0,9,11,40,23,14,1,0,4,0,2,22,26,3
"ASV_11749",4,0,4,1,6,10,2,14,0,0,2,0,0,3,0,7
"ASV_11751",6,0,0,4,0,1,0,2,0,0,1,0,0,0,3,10
"ASV_11755",2,0,0,0,3,1,0,0,0,0,1,0,0,0,0,3
"ASV_11756",2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
"ASV_11757",2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
"ASV_11759",6,0,4,4,0,0,2,3,0,0,1,0,0,0,1,15
"ASV_11760",3,0,2,2,3,0,0,0,0,0,0,0,0,0,0,2
"ASV_11762",4,0,4,0,0,0,2,2,0,0,0,0,0,0,2,10
"ASV_11764",8,0,12,2,12,10,23,14,2,0,1,2,0,1,6,25
"ASV_11765",0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_11768",5,0,0,10,0,2,0,0,0,0,0,0,0,0,0,9
"ASV_11769",9,0,2,4,6,10,0,1,0,0,2,0,0,0,1,0
"ASV_11770",52,0,34,38,2,24,8,22,0,0,12,0,2,9,13,14
"ASV_11772",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11773",30,0,46,27,11,14,11,27,0,1,5,5,0,5,20,116
"ASV_11774",0,0,11,1,0,0,31,0,0,0,0,0,0,0,0,106
"ASV_11776",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_11777",0,0,2,3,4,2,0,4,0,0,0,0,0,0,0,15
"ASV_11780",17,0,1,7,7,40,2,0,0,4,129,0,11,38,0,0
"ASV_11782",41,0,36,32,1,12,15,33,0,0,13,5,4,3,13,107
"ASV_11784",2,18,0,2,45,9,9,10,0,9,0,0,26,14,7,20
"ASV_11785",12,1,2,4,1,5,2,0,0,0,2,0,0,1,4,7
"ASV_11786",49,0,13,37,3,10,0,11,1,0,0,0,2,2,3,13
"ASV_11794",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11796",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
"ASV_11797",23,0,57,0,0,1,0,4,0,0,0,0,0,0,0,12
"ASV_11798",32,1,25,21,25,14,12,28,0,0,8,1,7,5,33,87
"ASV_11800",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"ASV_11802",4,0,1,0,2,2,0,0,0,0,1,0,4,3,0,0
"ASV_11804",0,0,2,0,6,0,1,3,0,0,0,0,0,0,3,8
"ASV_11805",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11806",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"ASV_11807",22,0,25,26,1,11,36,16,1,0,12,0,1,0,3,35
"ASV_11811",0,0,5,0,0,3,0,0,0,0,1,0,0,0,6,8
"ASV_11814",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11821",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11822",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
"ASV_11829",81,0,0,20,0,0,0,0,0,0,0,0,0,1,0,46
"ASV_11833",4,0,3,10,0,7,0,2,0,0,1,0,0,3,0,2
"ASV_11834",8,0,1,0,0,2,3,1,0,0,0,0,0,0,0,3
"ASV_11836",3,0,3,1,1,0,3,1,0,0,0,0,0,0,2,5
"ASV_11837",43,0,51,25,0,0,10,12,0,0,4,0,0,3,10,86
"ASV_11838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV_11839",0,0,0,4,0,4,0,2,0,0,1,0,0,0,0,0
"ASV_11841",26,0,12,7,0,5,0,3,0,0,1,0,0,1,0,2
"ASV_11842",0,0,8,0,0,0,2,3,0,0,0,0,0,0,0,42
"ASV_11843",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
"ASV_11845",0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0
"ASV_11851",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11852",3,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0
"ASV_11854",4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
"ASV_11855",2,0,6,2,1,0,0,5,0,0,0,0,0,0,0,5
"ASV_11861",5,0,4,7,0,2,0,0,0,0,1,0,0,1,2,13
"ASV_11862",3,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0
"ASV_11866",12,0,5,9,4,5,0,6,0,0,0,0,1,0,2,13
"ASV_11867",17,0,15,3,4,0,9,15,1,0,0,0,1,0,9,26
"ASV_11868",21,0,319,4,0,0,110,38,0,0,21,0,0,13,215,382
"ASV_11872",5,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
"ASV_11874",34,4,1,2,0,53,0,6,0,7,34,0,1,15,0,2
"ASV_11875",0,0,0,1,6,44,0,0,0,11,31,0,7,13,1,0
"ASV_11876",9,0,16,4,0,2,13,22,0,0,16,0,0,2,35,11
"ASV_11878",20,0,3,7,0,2,1,0,0,0,2,0,0,2,2,6
"ASV_11879",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,32
"ASV_11880",2,0,0,0,0,5,2,2,0,0,0,0,0,0,2,2
"ASV_11881",32,0,7,7,9,16,0,1,2,0,0,0,1,0,3,13
"ASV_11882",11,1,15,16,10,8,2,8,1,4,2,0,9,2,1,22
"ASV_11884",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11885",3,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1
"ASV_11887",15,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0
"ASV_11889",0,0,2,2,0,0,5,5,0,0,0,0,0,0,0,0
"ASV_11890",9,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11893",0,0,8,2,2,0,9,11,0,0,2,0,0,0,14,31
"ASV_11900",0,0,0,0,14,2,0,0,0,0,9,0,0,6,0,0
"ASV_11901",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11904",0,0,4,3,0,0,0,4,0,0,8,0,0,0,7,1
"ASV_11905",14,0,3,0,0,0,1,1,0,0,0,0,0,1,21,17
"ASV_11907",0,0,3,5,3,1,3,6,0,0,2,0,0,0,6,0
"ASV_11912",0,0,2,2,0,0,2,3,0,0,0,0,0,0,0,10
"ASV_11916",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11918",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"ASV_11923",11,0,6,1,0,8,2,12,0,0,10,0,0,1,14,16
"ASV_11924",19,0,9,10,5,10,7,12,0,0,5,0,0,0,5,32
"ASV_11925",17,0,14,13,10,10,4,20,0,0,7,0,0,3,8,18
"ASV_11926",7,0,4,5,1,2,3,2,0,0,1,0,1,0,1,9
"ASV_11927",60,0,13,0,0,0,0,1,0,0,12,0,0,3,0,11
"ASV_11931",5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_11933",14,0,2,3,0,0,0,3,0,0,0,0,0,0,0,3
"ASV_11935",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASV_11936",7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2
"ASV_11937",0,0,0,0,0,0,1,5,0,0,0,0,0,0,5,1
"ASV_11938",10,0,1,2,1,2,13,1,0,0,3,0,0,2,2,1
"ASV_11939",6,0,1,2,0,1,0,0,0,0,1,0,0,0,0,21
"ASV_11942",0,0,94,0,0,0,0,9,0,0,0,0,0,0,0,10
"ASV_11945",0,0,0,3,5,3,0,2,0,0,1,0,0,0,0,0
"ASV_11946",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11947",6,0,1,3,0,2,0,0,0,0,0,0,0,1,0,3
"ASV_11948",1,0,5,3,0,0,2,0,0,0,0,0,0,1,5,9
"ASV_11949",2,0,3,3,0,2,0,7,0,0,1,1,1,1,0,12
"ASV_11950",10,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
"ASV_11957",57,0,19,32,8,8,0,4,0,0,4,0,1,0,3,35
"ASV_11959",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_11961",0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"ASV_11962",22,8,39,16,34,11,48,33,2,0,3,34,4,4,23,34
"ASV_11966",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_11969",14,0,1,4,0,0,3,0,0,0,0,0,0,1,7,35
"ASV_11970",59,0,17,12,18,10,3,24,0,0,4,7,1,3,9,30
"ASV_11972",5,0,1,2,0,0,6,6,4,0,0,0,1,0,2,7
"ASV_11973",3,0,3,1,0,5,1,1,0,0,1,0,0,0,0,0
"ASV_11975",0,0,0,1,6,4,1,6,0,0,1,0,0,0,7,4
"ASV_11978",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8
"ASV_11980",13,0,6,7,0,5,0,2,0,0,5,0,0,1,2,0
"ASV_11982",17,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"ASV_11986",0,0,7,2,0,2,3,3,0,0,1,0,0,1,0,9
"ASV_11988",1,0,1,3,0,7,0,0,0,0,0,0,0,0,0,1
"ASV_11990",1,0,3,0,0,2,0,1,0,0,1,0,1,0,0,4
"ASV_11992",12,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0
"ASV_11993",0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,4
"ASV_11995",0,0,0,0,0,0,11,0,0,0,1,0,0,2,0,0
"ASV_11996",0,0,0,2,0,1,0,4,0,0,0,0,0,1,1,3
"ASV_12001",19,0,5,10,1,8,3,13,0,0,1,0,0,3,5,22
"ASV_12005",3,0,0,0,0,1,3,1,0,0,3,0,0,3,0,2
"ASV_12010",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5
"ASV_12014",10,0,4,16,9,5,2,9,1,0,3,0,1,2,3,20
"ASV_12015",3,0,6,0,0,0,2,0,0,0,0,0,1,0,2,8
"ASV_12016",0,0,11,8,0,5,2,40,0,0,2,0,7,4,0,0
"ASV_12022",4,0,9,2,0,1,0,2,0,0,0,0,0,1,0,19
"ASV_12023",0,0,8,7,4,2,0,3,0,0,0,0,0,0,3,32
"ASV_12024",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12026",0,0,3,0,0,0,1,0,21,0,0,0,0,0,1,1
"ASV_12027",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
"ASV_12029",0,0,4,0,2,2,1,3,0,1,0,0,0,1,0,6
"ASV_12030",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12032",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"ASV_12034",0,1,1,1,0,0,3,3,0,0,0,0,0,0,0,6
"ASV_12038",20,0,25,26,6,10,6,14,0,2,1,0,2,2,1,37
"ASV_12039",3,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0
"ASV_12041",7,0,2,4,0,5,0,4,0,0,1,0,0,1,0,0
"ASV_12042",13,0,7,3,4,0,4,4,0,0,1,0,2,0,0,9
"ASV_12043",9,0,18,3,0,3,7,9,0,0,1,0,0,0,4,17
"ASV_12046",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"ASV_12049",0,0,2,1,0,3,0,0,0,0,0,0,0,1,0,0
"ASV_12051",35,0,5,8,0,7,0,0,0,0,0,0,0,1,2,36
"ASV_12052",9,0,4,8,2,2,2,0,0,0,3,0,0,0,6,11
"ASV_12053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"ASV_12055",0,0,19,0,0,2,4,0,0,0,5,0,8,1,0,5
"ASV_12058",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_12060",0,2,2,1,4,3,13,7,5,0,0,0,0,0,2,6
"ASV_12061",0,1,0,4,0,7,0,0,0,0,44,0,0,1,0,0
"ASV_12065",9,0,0,3,8,3,1,3,0,0,0,0,0,1,0,4
"ASV_12067",11,0,9,6,1,1,2,1,0,0,2,0,0,1,0,2
"ASV_12069",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_12071",1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1
"ASV_12072",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4
"ASV_12078",33,0,2,2,4,0,1,18,0,0,9,0,0,0,5,5
"ASV_12083",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12085",2,0,6,5,0,3,0,11,0,0,4,0,2,0,0,5
"ASV_12087",0,0,2,0,0,8,0,0,0,0,0,0,0,0,1,0
"ASV_12088",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV_12089",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV_12093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ASV_12095",1,0,3,1,0,0,3,8,0,0,5,0,0,0,5,8
"ASV_12098",0,10,0,1,2,27,18,1,0,0,0,0,5,9,5,0
"ASV_12101",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_12105",44,0,22,31,7,6,11,18,1,0,2,0,0,10,6,92
"ASV_12106",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV_12109",2,0,1,0,0,0,0,1,3,0,0,0,0,0,0,2
"ASV_12114",3,0,0,1,3,0,2,5,0,0,0,0,0,0,3,2
"ASV_12115",0,0,4,1,0,0,5,4,0,0,0,0,0,0,1,2
"ASV_12117",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9
"ASV_12122",0,0,42,0,0,0,0,0,0,0,4,0,0,0,0,0
"ASV_12123",4,0,1,0,4,4,2,9,0,0,2,3,0,0,3,18
"ASV_12133",1,0,1,3,4,0,0,0,0,0,1,0,0,0,0,6
"ASV_12138",4,0,2,1,5,0,2,3,0,0,0,0,0,0,6,84
"ASV_12139",1,0,1,1,0,0,0,5,0,0,0,0,0,0,3,3
"ASV_12144",6,0,30,15,0,0,0,15,0,0,0,0,0,2,0,23
"ASV_12161",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
"ASV_12162",1,0,1,0,0,1,0,0,0,0,0,21,0,0,2,0
"ASV_12163",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1
"ASV_12167",0,2,2,0,0,0,3,0,3,0,0,0,0,0,0,0
"ASV_12169",11,1,23,3,0,8,10,46,0,0,5,0,3,0,43,62
"ASV_12170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV_12177",0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
"ASV_12185",15,0,4,6,0,0,0,4,0,0,3,0,0,0,8,6
"ASV_12187",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12191",0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
"ASV_12196",0,0,0,0,6,0,14,0,0,0,9,0,0,0,0,0
"ASV_12201",3,0,3,2,0,0,0,5,0,0,1,0,0,0,0,4
"ASV_12202",5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ASV_12208",0,0,10,0,12,5,2,10,2,0,3,0,0,4,2,20
"ASV_12214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASV_12218",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_12232",0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
"ASV_12234",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ASV_12236",7,0,22,6,0,0,22,12,0,0,2,0,0,0,5,26
"ASV_12238",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4
"ASV_12244",3,0,2,2,0,2,1,5,0,0,2,0,0,0,0,12
"ASV_12246",0,0,2,0,3,0,1,2,0,0,1,0,0,2,3,5
"ASV_12247",11,0,1,7,0,0,0,0,0,0,5,0,1,1,2,2
"ASV_12248",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"ASV_12249",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12250",9,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV_12274",29,0,0,26,0,0,0,0,0,0,0,137,0,0,0,0
"ASV_12276",1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ASV_12284",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
"ASV_12288",17,0,3,1,3,1,1,0,1,0,2,0,2,0,1,3
"ASV_12296",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"ASV_12300",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"ASV_12301",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_12305",0,0,12,1,1,0,0,0,0,0,1,0,0,0,3,0
"ASV_12310",11,0,4,1,0,0,0,0,0,0,0,0,2,1,0,0
"ASV_12312",9,0,3,9,2,1,2,5,0,0,0,0,0,0,0,2
"ASV_12316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"ASV_12328",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12332",1,0,6,1,0,0,1,1,0,0,0,0,0,0,0,7
"ASV_12333",1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,10
"ASV_12337",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV_12349",0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0
"ASV_12357",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_12358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
"ASV_12359",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12362",0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0
"ASV_12363",1,0,2,0,0,0,6,0,0,0,0,0,0,0,3,4
"ASV_12370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ASV_12377",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_12400",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"ASV_12412",0,65,1,0,134,0,0,0,0,79,1,0,0,10,0,0
"ASV_12414",2,368,0,72,116,117,201,3,532,476,366,0,468,39,4,0
"ASV_12428",0,0,0,0,282,0,1,0,1521,0,0,0,0,0,0,0
"ASV_12440",42,5,13,32,26,23,27,21,3,0,13,0,21,5,12,14
"ASV_12445",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_12448",0,11,0,0,0,79,0,0,7,51,3,0,0,0,381,0
"ASV_12452",0,19,0,0,7,2,0,0,15,25,55,0,5,1,6,0
"ASV_12453",0,124,0,153,283,14,0,0,924,230,101,13,19,0,12,0
"ASV_12455",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
"ASV_12457",7,12,26,91,30,101,237,20,0,0,66,1,7,41,61,61
"ASV_12462",0,0,3,0,0,4,0,0,0,14,1,0,2,0,0,0
"ASV_12467",10,4,42,53,4,18,87,31,0,0,35,0,0,6,17,87
"ASV_12470",0,38,0,0,21,103,0,0,1,21,14,0,13,37,0,0
"ASV_12471",93,0,49,37,0,10,14,24,0,0,14,4,2,12,0,94
"ASV_12472",1,0,1,0,5,5,3,3,2,0,2,1,0,0,0,1
"ASV_12480",1,199,0,0,1,0,0,1,657,619,88,0,13,59,0,0
"ASV_12481",1,5,0,0,0,3,4,3,1,0,2,0,0,1,7,6
"ASV_12484",728,1874,711,335,1907,469,1215,1725,398,210,157,265,41,110,350,987
"ASV_12491",0,988,3,3,16,0,1,0,72,110,1,0,0,0,4,15
"ASV_12495",0,0,21,7,0,54,151,53,0,0,14,0,0,2,18,167
"ASV_12497",0,49,0,0,0,0,0,0,0,195,180,0,0,0,0,0
"ASV_12501",0,0,3,5,2,6,1,1,0,0,8,0,0,0,1,1
"ASV_12506",0,29,0,4,246,0,0,0,27,36,109,0,1,1,1,0
"ASV_12508",1,0,0,0,32,5,3,3,3,13,6,0,0,0,1,22
"ASV_12516",73,6,18,78,10,51,10,29,2,1,69,55,148,118,106,71
"ASV_12522",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_12524",0,11,0,0,0,70,0,0,4,10,0,0,0,0,0,0
"ASV_12526",1192,459,929,232,10,258,3028,1858,54,0,97,3219,198,221,3427,1775
"ASV_12536",49,0,0,12,0,17,0,3,0,1,1,0,9,6,8,0
"ASV_12537",13,0,1,0,0,4,23,7,1,0,0,2,0,0,29,19
"ASV_12539",0,0,0,0,2,21,6,11,0,6,0,0,5,0,112,9
"ASV_12540",9,0,2,3,0,2,0,0,0,0,7,4,23,19,3,0
"ASV_12545",0,0,2,2,0,2,2,4,0,0,0,0,0,1,1,0
"ASV_12549",26,4,0,19,1,0,0,9,0,1496,11,0,1,0,0,0
"ASV_12561",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"ASV_12572",0,969,0,6,339,3,54,41,311,43,13,0,5,16,104,27
"ASV_12573",0,1,0,0,1,0,74,2,1,0,0,0,14,18,2,1
"ASV_12582",0,1,0,0,0,5,1,0,2,5,4,0,1,0,2,0
"ASV_12584",0,1,0,0,6,17,1,0,0,4,0,0,1,5,0,0
"ASV_12586",0,0,1,0,0,10,3,3,0,0,2,0,0,3,1,6
"ASV_12591",79,0,6,34,1,13,0,12,0,0,39,53,117,79,4,22
"ASV_12602",1,3,0,4,0,21,6,0,0,0,15,0,21,31,0,0
"ASV_12603",0,0,5,0,0,1,1,2,0,0,0,0,0,0,1,16
"ASV_12606",52,10,29,18,7,15,30,36,0,0,8,4,1,6,34,104
"ASV_12611",0,1,0,2,3,0,1,0,0,0,1,0,0,0,0,0
"ASV_12615",6,0,0,0,7,3,0,2,0,2,0,0,0,0,0,1
"ASV_12616",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2
"ASV_12624",2,0,0,0,5,14,15,3,0,0,2,0,0,1,7,1
"ASV_12625",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_12632",0,0,0,1,6,1,0,3,0,1,0,0,0,0,0,0
"ASV_12636",0,0,0,2,0,0,1,7,0,0,0,13,0,0,0,5
"ASV_12638",0,1,0,0,0,0,1,1,0,0,0,11,0,0,0,2
"ASV_12639",0,3,2,0,0,0,1,2,0,0,0,0,0,0,2,0
"ASV_12641",0,1,0,0,7,2,1,6,0,3,4,5,0,0,0,2
"ASV_12650",0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,25
"ASV_12652",3,0,2,2,0,3,6,11,0,0,2,0,0,0,4,16
"ASV_12661",4,0,1,0,4,1,3,3,1,1,3,3,1,0,1,0
"ASV_12665",0,44,0,0,0,0,0,0,57,12,0,0,0,0,0,0
