"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_4066",0,55,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"ASV_4709",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASV_4807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ASV_5028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV_5109",3,4,1,3,17,5,9,4,0,0,3,0,0,1,0,0
"ASV_5578",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5608",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
"ASV_5643",2,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1
"ASV_6797",130,16,1,144,331,1223,0,0,1,1380,4354,0,359,951,0,0
"ASV_6818",1,0,164,274,0,55,32,91,0,0,24,0,29,31,219,615
"ASV_7261",0,0,0,0,0,0,5,0,0,0,0,0,0,2,13,0
"ASV_7656",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ASV_7897",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ASV_8225",5334,2248,1293,2784,3716,10489,2563,2383,263,1999,2908,4272,1815,4765,990,1781
"ASV_8226",4637,2624,1386,3075,3544,10914,5828,3045,369,2851,4101,3,1678,5119,2513,3466
"ASV_8227",34823,1,0,1,6282,206,65,0,180,0,3629,0,0,2083,2,2
"ASV_8229",328,0,329,38,0,232,1353,212,385,2,173,0,14,136,312,2340
"ASV_8230",0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0
"ASV_8231",0,0,0,4,0,0,41,0,0,0,0,0,0,0,0,0
"ASV_8232",2,0,1,3,0,1,11,0,0,0,2570,0,0,1,0,0
"ASV_8233",3589,1130,5119,2300,708,1893,6905,6936,479,60,1033,9187,898,1449,4704,7386
"ASV_8234",327,11,354,78,47,21,724,491,174,3,38,0,39,9,495,554
"ASV_8235",1,0,0,0,0,154,0,0,1,1,1,0,0,1,0,0
"ASV_8236",502,0,181,4,0,0,74,107,0,0,2,0,29,9,30,160
"ASV_8237",0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8238",1,589,0,0,1659,659,0,0,118,10987,1725,0,276,217,2,0
"ASV_8241",0,79,0,0,89,0,0,0,2,0,0,0,0,0,0,0
"ASV_8242",2150,224,287,1050,7142,4697,491,333,302,2483,451,0,723,1681,139,595
"ASV_8243",1099,0,0,2369,0,0,5727,0,0,0,9,0,0,0,0,0
"ASV_8244",0,0,0,0,0,0,0,0,0,0,0,1,0,1,44,0
"ASV_8245",0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
